年份,行政區,段別,地號,公告現值,公告地價
107,八德區,1030,0726-0000,22700,4600
107,八德區,1030,0734-0000,22700,4600
107,八德區,1030,0768-0000,22700,4600
107,八德區,1030,0772-0000,22700,4600
107,八德區,1030,0780-0000,22700,4600
107,八德區,1030,0789-0000,22700,4600
107,八德區,1030,0792-0001,22700,4600
107,八德區,1030,0797-0001,22700,4600
107,八德區,1030,0800-0000,22700,4600
107,八德區,1030,0803-0000,22700,4600
107,八德區,1030,0812-0000,22700,4600
107,八德區,1030,0821-0000,22700,4600
107,八德區,1030,0825-0000,22700,4600
107,八德區,1030,0831-0000,22700,4600
107,八德區,1030,0841-0000,22700,4600
107,八德區,1030,0845-0000,22700,4600
107,八德區,1030,0847-0000,22700,4600
107,八德區,1030,0849-0000,22700,4600
107,八德區,1030,0855-0000,22700,4600
107,八德區,1030,0877-0000,22700,4600
107,八德區,1030,0878-0000,22700,4600
107,八德區,1030,0883-0000,22700,4600
107,八德區,1030,0887-0000,22700,4600
107,八德區,1030,0891-0002,22700,4600
107,八德區,1030,0893-0000,22700,4600
107,八德區,1030,0896-0000,22700,4600
107,八德區,1030,0898-0000,22700,4600
107,八德區,1030,0910-0000,22700,4600
107,八德區,1030,0935-0000,22700,4600
107,八德區,1030,0940-0000,22700,4600
107,八德區,1030,0947-0000,22700,4600
107,八德區,1030,0948-0000,19300,3900
107,八德區,1030,0953-0000,22700,4600
107,八德區,1030,0954-0000,22700,4600
107,八德區,1030,0957-0000,22700,4600
107,八德區,1030,0964-0000,22700,4600
107,八德區,1030,0967-0000,22700,4600
107,八德區,1030,0974-0000,22700,4600
107,八德區,1030,0978-0000,22700,4600
107,八德區,1030,0988-0000,22700,4600
107,八德區,1030,1018-0000,22700,4600
107,八德區,1030,1027-0000,22700,4600
107,八德區,1030,1032-0000,22700,4600
107,八德區,1030,1036-0000,22700,4600
107,八德區,1030,1054-0000,22700,4600
107,八德區,1030,1069-0000,22700,4600
107,八德區,1030,1079-0000,22700,4600
107,八德區,1030,1101-0000,22700,4600
107,八德區,1030,1118-0000,22700,4600
107,八德區,1030,1121-0000,22700,4600
107,八德區,1030,1122-0000,22700,4600
107,八德區,1030,1126-0000,22700,4600
107,八德區,1030,1143-0000,22700,4600
107,八德區,1030,1144-0000,22700,4600
107,八德區,1030,1145-0000,19300,3900
107,八德區,1030,1147-0000,19300,3900
107,八德區,1030,1148-0000,24100,4900
107,八德區,1030,1172-0000,24100,4900
107,八德區,1030,1184-0000,24100,4900
107,八德區,1030,1190-0000,24100,4900
107,八德區,1030,1195-0000,24100,4900
107,八德區,1030,1196-0000,24100,4900
107,八德區,1030,1198-0000,24100,4900
107,八德區,1030,1212-0000,24100,4900
107,八德區,1030,1215-0000,24100,4900
107,八德區,1030,1217-0000,24100,4900
107,八德區,1030,1219-0000,24100,4900
107,八德區,1030,1227-0000,24100,4900
107,八德區,1030,1231-0000,24100,4900
107,八德區,1030,1242-0000,24100,4900
107,八德區,1030,1251-0000,24100,4900
107,八德區,1030,1256-0000,24100,4900
107,八德區,1030,1261-0000,24100,4900
107,八德區,1030,1268-0000,24100,4900
107,八德區,1030,1282-0000,24100,4900
107,八德區,1030,1285-0000,24100,4900
107,八德區,1035,0075-0000,11811,2391
107,八德區,1035,0079-0000,13800,2800
107,八德區,1035,0082-0000,13800,2800
