年份,行政區,段別,地號,公告現值,公告地價
107,八德區,1035,0086-0000,24600,5000
107,八德區,1035,0090-0000,13800,2800
107,八德區,1035,0091-0000,8697,1749
107,八德區,1035,0100-0000,13800,2800
107,八德區,1035,0101-0000,8486,1706
107,八德區,1035,0106-0000,7000,1400
107,八德區,1035,0128-0000,6800,1400
107,八德區,1035,0135-0000,6800,1400
107,八德區,1035,0148-0000,7000,1400
107,八德區,1035,0163-0000,14700,3000
107,八德區,1035,0178-0000,7000,1400
107,八德區,1035,0182-0000,7000,1400
107,八德區,1035,0222-0000,7000,1400
107,八德區,1031,0185-0000,28200,5800
107,八德區,1031,0210-0000,28200,5800
107,八德區,1031,0243-0000,28200,5800
107,八德區,1031,0266-0000,28200,5800
107,八德區,1031,0283-0000,48200,9900
107,八德區,1031,0289-0000,48200,9900
107,八德區,1031,0294-0000,28200,5800
107,八德區,1031,0301-0000,48200,9900
107,八德區,1031,0303-0000,28200,5800
107,八德區,1031,0306-0000,41907,8610
107,八德區,1031,0330-0000,45114,9267
107,八德區,1031,0333-0000,42113,8652
107,八德區,1031,0337-0000,30550,6282
107,八德區,1031,0344-0000,48200,9900
107,八德區,1031,0354-0000,48200,9900
107,八德區,1031,0366-0000,30233,6217
107,八德區,1031,0372-0000,28200,5800
107,八德區,1031,0375-0000,48200,9900
107,八德區,1031,0395-0000,48200,9900
107,八德區,1031,0399-0000,28200,5800
107,八德區,1031,0402-0000,48200,9900
107,八德區,1031,0404-0000,30308,6232
107,八德區,1031,0406-0000,48200,9900
107,八德區,1031,0415-0000,28200,5800
107,八德區,1031,0419-0000,28200,5800
107,八德區,1031,0423-0000,28200,5800
107,八德區,1031,0431-0000,28200,5800
107,八德區,1031,0439-0000,28200,5800
107,八德區,1031,0442-0000,28200,5800
107,八德區,1031,0444-0000,28200,5800
107,八德區,1031,0457-0000,21400,5600
107,八德區,1031,0468-0000,21400,5600
107,八德區,1031,0478-0000,20500,4200
107,八德區,1031,0492-0000,25000,5100
107,八德區,1031,0499-0000,25000,5100
107,八德區,1031,0521-0000,25000,5100
107,八德區,1031,0524-0000,25000,5100
107,八德區,1031,0525-0000,25000,5100
107,八德區,1031,0544-0000,25000,5100
107,八德區,1031,0548-0000,25000,5100
107,八德區,1031,0549-0000,25000,5100
107,八德區,1031,0556-0000,25000,5100
107,八德區,1031,0557-0000,25000,5100
107,八德區,1031,0567-0000,25000,5100
107,八德區,1031,0575-0000,25000,5100
107,八德區,1031,0579-0000,25000,5100
107,八德區,1031,0581-0000,25000,5100
107,八德區,1031,0585-0000,25000,5100
107,八德區,1031,0587-0000,25000,5100
107,八德區,1031,0603-0000,25000,5100
107,八德區,1031,0607-0000,21400,5600
107,八德區,1031,0617-0000,44300,9000
107,八德區,1031,0625-0000,44300,9000
107,八德區,1031,0647-0000,25000,5100
107,八德區,1031,0649-0000,25000,5100
107,八德區,1031,0652-0000,25000,5100
107,八德區,1031,0664-0000,25000,5100
107,八德區,1031,0675-0000,25000,5100
107,八德區,1031,0692-0000,25000,5100
107,八德區,1031,0693-0000,25000,5100
107,八德區,1031,0695-0000,25000,5100
107,八德區,1031,0701-0000,25000,5100
107,八德區,1031,0703-0000,25000,5100
107,八德區,1031,0707-0000,25000,5100
107,八德區,1031,0708-0000,25000,5100
107,八德區,1031,0713-0000,25000,5100
107,八德區,1031,0718-0000,25000,5100
107,八德區,1031,0719-0000,25000,5100
107,八德區,1031,0729-0000,25000,5100
107,八德區,1031,0730-0000,25000,5100
107,八德區,1031,0751-0000,25000,5100
107,八德區,1031,0756-0000,25000,5100
107,八德區,1031,0758-0000,25000,5100
107,八德區,1031,0759-0000,25000,5100
107,八德區,1031,0762-0000,25000,5100
107,八德區,1031,0768-0000,25000,5100
107,八德區,1031,0787-0000,25000,5100
107,八德區,1031,0789-0000,25000,5100
107,八德區,1031,0794-0000,25000,5100
107,八德區,1031,0802-0000,25000,5100
107,八德區,1031,0810-0000,25000,5100
107,八德區,1031,0825-0000,25000,5100
107,八德區,1031,0829-0000,25000,5100
107,八德區,1031,0848-0000,25000,5100
107,八德區,1031,0849-0000,25000,5100
107,八德區,1031,0850-0000,25000,5100
107,八德區,1031,0860-0000,25000,5100
107,八德區,1031,0882-0000,25000,5100
107,八德區,1031,0891-0000,25000,5100
107,八德區,1031,0894-0000,25000,5100
107,八德區,1031,0909-0000,25000,5100
107,八德區,1031,0922-0000,25000,5100
107,八德區,1031,0926-0000,25000,5100
107,八德區,1031,0941-0000,25000,5100
107,八德區,1031,0951-0000,25000,5100
107,八德區,1031,0952-0000,25000,5100
107,八德區,1031,0955-0000,25000,5100
107,八德區,1031,0969-0000,25000,5100
107,八德區,1031,0976-0000,25000,5100
107,八德區,1031,0988-0000,25000,5100
107,八德區,1031,0990-0000,25000,5100
107,八德區,1031,1000-0000,25000,5100
107,八德區,1031,1005-0000,25000,5100
107,八德區,1031,1011-0000,25000,5100
107,八德區,1031,1028-0000,25000,5100
107,八德區,1031,1045-0000,25000,5100
107,八德區,1031,1095-0000,33972,6913
107,八德區,1031,1110-0000,44300,9000
107,八德區,1031,1113-0000,44300,9000
107,八德區,1031,1121-0000,34050,6976
107,八德區,1031,1123-0000,25000,5100
107,八德區,1031,1146-0000,25800,5300
107,八德區,1031,1150-0000,25129,5132
107,八德區,1032,0001-0000,13800,2800
107,八德區,1032,0037-0000,20700,4200
107,八德區,1032,0044-0000,20700,4200
107,八德區,1032,0055-0000,23454,4785
107,八德區,1032,0058-0000,20700,4200
107,八德區,1032,0098-0000,21813,4437
107,八德區,1032,0099-0000,24548,5018
107,八德區,1032,0100-0000,28700,5900
107,八德區,1032,0104-0000,21884,4452
107,八德區,1032,0106-0000,28700,5900
107,八德區,1032,0124-0000,28700,5900
107,八德區,1032,0130-0000,28088,5770
107,八德區,1032,0163-0000,20700,4200
107,八德區,1032,0169-0000,20700,4200
107,八德區,1032,0170-0000,23029,4695
107,八德區,1032,0172-0000,20700,4200
107,八德區,1032,0175-0000,20700,4200
107,八德區,1032,0177-0000,20700,4200
107,八德區,1032,0186-0000,20700,4200
107,八德區,1032,0194-0000,20700,4200
107,八德區,1032,0201-0000,20700,4200
107,八德區,1032,0207-0000,20700,4200
107,八德區,1032,0208-0000,20700,4200
107,八德區,1032,0222-0000,20700,4200
107,八德區,1032,0229-0000,20700,4200
107,八德區,1032,0234-0000,20700,4200
107,八德區,1032,0235-0000,20700,4200
107,八德區,1032,0236-0000,20700,4200
107,八德區,1032,0248-0000,20700,4200
107,八德區,1032,0261-0000,20700,4200
107,八德區,1032,0262-0000,20700,4200
107,八德區,1032,0266-0000,20700,4200
107,八德區,1032,0297-0000,20700,4200
107,八德區,1032,0302-0000,20700,4200
107,八德區,1032,0303-0000,20700,4200
107,八德區,1032,0306-0000,20700,4200
107,八德區,1032,0308-0000,20700,4200
107,八德區,1032,0325-0000,20700,4200
107,八德區,1032,0334-0000,20700,4200
107,八德區,1032,0335-0000,20700,4200
107,八德區,1032,0342-0000,20700,4200
107,八德區,1032,0347-0000,20700,4200
107,八德區,1032,0353-0001,13800,2800
107,八德區,1032,0356-0000,7406,1539
107,八德區,1032,0359-0000,6700,1400
107,八德區,1032,0366-0001,13800,2800
107,八德區,1032,0380-0002,12500,2600
107,八德區,1032,0387-0000,8801,1800
107,八德區,1032,0389-0000,12500,2600
107,八德區,1032,0390-0001,12500,2600
107,八德區,1032,0393-0000,12500,2600
107,八德區,1032,0396-0000,9923,2043
107,八德區,1032,0397-0001,12500,2600
107,八德區,1032,0400-0000,12500,2600
107,八德區,1032,0402-0000,12500,2600
107,八德區,1032,0428-0000,4900,1000
107,八德區,1032,0431-0000,4900,1000
107,八德區,1032,0435-0000,4900,1000
107,八德區,1032,0442-0000,4900,1000
107,八德區,1032,0444-0000,13200,2700
107,八德區,1032,0457-0000,13200,2700
107,八德區,1032,0468-0000,12500,2600
107,八德區,1032,0477-0000,12500,2600
107,八德區,1032,0483-0000,12500,2600
107,八德區,1032,0490-0000,8800,1800
107,八德區,1032,0494-0000,6700,1400
107,八德區,1032,0533-0000,18530,3767
107,八德區,1032,0534-0000,7709,1590
107,八德區,1032,0538-0000,12500,2600
107,八德區,1032,0559-0000,4900,1000
107,八德區,1032,0560-0000,4900,1000
107,八德區,1032,0562-0000,4900,1000
107,八德區,1032,0604-0000,12500,2600
107,八德區,1032,0619-0000,8800,1800
107,八德區,1032,0624-0000,6700,1400
107,八德區,1032,0625-0000,6700,1400
107,八德區,1032,0635-0000,14160,2900
107,八德區,1032,0651-0000,12500,2600
107,八德區,1032,0658-0000,12500,2600
107,八德區,1032,0660-0000,12500,2600
107,八德區,1032,0661-0000,12500,2600
107,八德區,1032,0662-0000,12500,2600
107,八德區,1032,0663-0000,12500,2600
107,八德區,1032,0669-0000,18178,3749
107,八德區,1032,0678-0000,4900,1000
107,八德區,1033,0001-0000,12287,2497
107,八德區,1033,0008-0000,12300,2500
107,八德區,1033,0033-0000,14900,3100
107,八德區,1033,0064-0000,4900,1000
107,八德區,1033,0065-0000,4900,1000
107,八德區,1033,0077-0000,4900,1000
107,八德區,1033,0078-0000,4900,1000
107,八德區,1033,0080-0000,14900,3100
107,八德區,1033,0088-0000,14900,3100
107,八德區,1033,0093-0000,14900,3100
107,八德區,1033,0307-0000,4900,1000
107,八德區,1033,0323-0000,4900,1000
107,八德區,1034,0006-0000,36088,7375
107,八德區,1034,0010-0000,37617,7683
107,八德區,1034,0016-0000,38200,7800
107,八德區,1034,0041-0000,38200,7800
107,八德區,1034,0043-0000,31849,6521
107,八德區,1034,0051-0000,31570,6465
107,八德區,1034,0056-0000,29102,5967
107,八德區,1034,0058-0000,24300,5000
107,八德區,1034,0059-0000,28794,5905
107,八德區,1034,0064-0000,24300,5000
107,八德區,1034,0068-0000,24300,5000
107,八德區,1034,0070-0000,24300,5000
107,八德區,1034,0071-0000,24300,5000
107,八德區,1034,0098-0000,24300,5000
107,八德區,1034,0099-0000,24300,5000
107,八德區,1034,0103-0000,29456,6017
107,八德區,1034,0107-0000,24300,5000
107,八德區,1034,0112-0000,31400,6400
107,八德區,1034,0113-0000,31400,6400
107,八德區,1034,0118-0000,31500,6400
107,八德區,1034,0120-0000,20792,4274
107,八德區,1034,0136-0000,7799,1581
107,八德區,1034,0139-0000,22160,4541
107,八德區,1034,0164-0000,15300,3100
107,八德區,1034,0172-0000,7400,1500
107,八德區,1034,0174-0000,7400,1500
107,八德區,1034,0186-0000,14800,3000
107,八德區,1034,0195-0000,14800,3000
107,八德區,1034,0199-0000,14800,3000
107,八德區,1034,0205-0000,14800,3000
107,八德區,1034,0208-0000,7400,1500
107,八德區,1034,0213-0000,7400,1500
107,八德區,1034,0216-0000,7400,1500
107,八德區,1034,0218-0000,7400,1500
107,八德區,1034,0222-0000,7400,1500
107,八德區,1034,0223-0000,7400,1500
107,八德區,1034,0227-0000,7400,1500
107,八德區,1034,0239-0000,13061,2646
107,八德區,1034,0252-0000,15300,3100
107,八德區,1034,0259-0000,15300,3100
107,八德區,1034,0261-0000,15300,3100
107,八德區,1034,0266-0000,15300,3100
107,八德區,1034,0268-0000,34000,7000
107,八德區,1034,0270-0000,34000,7000
107,八德區,1034,0289-0000,14200,2900
107,八德區,1034,0294-0000,14200,2900
107,八德區,1034,0297-0000,14200,2900
107,八德區,1034,0304-0000,14200,2900
107,八德區,1034,0309-0000,14200,2900
107,八德區,1034,0325-0000,14200,2900
107,八德區,1034,0328-0000,14200,2900
107,八德區,1034,0344-0000,14200,2900
107,八德區,1034,0354-0000,7400,1500
107,八德區,1034,0355-0000,7400,1500
107,八德區,1034,0381-0000,10348,2099
107,八德區,1034,0384-0000,25100,5100
107,八德區,1034,0387-0000,14800,3000
107,八德區,1034,0388-0000,14800,3000
107,八德區,1034,0401-0000,11825,2393
107,八德區,1034,0416-0000,13801,2800
107,八德區,1034,0417-0000,13221,2682
107,八德區,1034,0422-0000,21474,4368
107,八德區,1034,0423-0000,14200,2900
107,八德區,1034,0435-0000,7400,1500
107,八德區,1034,0448-0000,7400,1500
107,八德區,1034,0453-0000,22400,4600
107,八德區,1034,0465-0000,9557,1937
107,八德區,1034,0469-0000,7400,1500
107,八德區,1034,0474-0000,15300,3100
107,八德區,1034,0480-0000,14002,2837
107,八德區,1034,0485-0000,15300,3100
107,八德區,1034,0491-0000,15300,3100
107,八德區,1034,0501-0000,34000,7000
107,八德區,1034,0519-0000,34000,7000
107,八德區,1034,0523-0000,22400,4600
107,八德區,1034,0534-0000,22400,4600
107,八德區,1034,0552-0000,7400,1500
107,八德區,1034,0566-0000,7400,1500
107,八德區,1034,0576-0000,7400,1500
107,八德區,1034,0585-0000,13800,2800
107,八德區,1034,0590-0000,13800,2800
107,八德區,1034,0592-0000,13800,2800
107,八德區,1034,0598-0000,9766,1969
107,八德區,1034,0603-0000,7827,1570
107,八德區,1034,0629-0000,16300,3300
107,八德區,1034,0632-0000,7000,1400
107,八德區,1034,0634-0000,16300,3300
107,八德區,1034,0637-0000,17400,3600
107,八德區,1034,0638-0000,17400,3600
107,八德區,1034,0641-0000,7000,1400
107,八德區,1034,0655-0000,21414,4382
107,八德區,1034,0660-0000,10119,2042
107,八德區,1034,0664-0000,11073,2239
107,八德區,1034,0676-0000,7400,1500
107,八德區,1034,0687-0000,7400,1500
107,八德區,1034,0697-0000,19000,3900
107,八德區,1034,0700-0000,19000,3900
107,八德區,1034,0704-0000,19000,3900
107,八德區,1034,0709-0000,19000,3900
107,八德區,1034,0711-0000,7400,1500
107,八德區,1034,0732-0000,33480,6893
107,八德區,1034,0735-0000,22400,4600
107,八德區,1034,0753-0000,28780,5920
107,八德區,1034,0757-0000,31932,6572
107,八德區,1034,0761-0000,34000,7000
107,八德區,1034,0770-0000,15300,3100
107,八德區,1034,0778-0000,11268,2347
107,八德區,1034,0782-0000,8471,1760
107,八德區,1034,0795-0000,7400,1500
107,八德區,1034,0800-0000,7400,1500
107,八德區,1034,0809-0002,9010,1827
107,八德區,1034,0826-0000,17400,3600
107,八德區,1034,0831-0000,17400,3600
107,八德區,1034,0836-0000,7000,1400
107,八德區,1034,0842-0000,16300,3300
107,八德區,1034,0865-0000,17400,3600
107,八德區,1034,0868-0000,17400,3600
107,八德區,1034,0872-0000,12220,2475
107,八德區,1034,0875-0000,7000,1400
107,八德區,1034,0880-0000,17700,3600
107,八德區,1034,0888-0000,17700,3600
107,八德區,1034,0902-0000,17700,3600
107,八德區,1034,0907-0000,17700,3600
107,八德區,1034,0917-0000,17700,3600
107,八德區,1034,0921-0000,17700,3600
107,八德區,1034,0928-0000,17700,3600
107,八德區,1034,0936-0000,7000,1400
107,八德區,1034,0938-0000,7000,1400
107,八德區,1034,0939-0000,15200,3100
107,八德區,1034,0962-0000,8258,1659
107,八德區,1034,0972-0000,13800,2800
107,八德區,1034,0982-0000,13800,2800
107,八德區,1034,0986-0000,7985,1619
107,八德區,1034,0992-0000,7400,1500
107,八德區,1034,1000-0000,12000,2500
107,八德區,1034,1007-0000,29800,6100
107,八德區,1034,1015-0000,29712,6082
107,八德區,1034,1016-0000,29764,6093
107,八德區,1034,1017-0000,29270,5990
107,八德區,1034,1038-0000,24500,5000
107,八德區,1034,1040-0000,7400,1500
107,八德區,1034,1046-0000,11597,2359
107,八德區,1034,1052-0000,9706,1957
107,八德區,1034,1066-0000,17700,3600
107,八德區,1034,1074-0000,17700,3600
107,八德區,1034,1083-0000,17700,3600
107,八德區,1034,1084-0000,17700,3600
107,八德區,1034,1092-0000,7000,1400
107,八德區,1034,1094-0000,7000,1400
107,八德區,1034,1096-0000,7000,1400
107,八德區,1034,1099-0000,7000,1400
107,八德區,1034,1107-0003,7000,1400
107,八德區,1034,1108-0000,7000,1400
107,八德區,1034,1111-0000,7000,1400
107,八德區,1034,1126-0000,13800,2800
107,八德區,1034,1132-0000,13800,2800
107,八德區,1034,1140-0000,7400,1500
107,八德區,1034,1142-0000,7400,1500
107,八德區,1034,1147-0000,14200,2900
107,八德區,1034,1163-0000,13600,2800
107,八德區,1034,1190-0000,29800,6100
107,八德區,1034,1199-0000,27721,5671
107,八德區,1034,1251-0000,6545,1366
107,八德區,1034,1259-0000,19200,3900
107,八德區,1034,1264-0001,10400,
107,八德區,1034,1272-0000,9365,1898
107,八德區,1034,1273-0000,5800,1200
107,八德區,1034,1281-0000,17200,3500
107,八德區,1034,1288-0000,17200,3500
107,八德區,1034,1289-0000,17200,3500
107,八德區,1034,1293-0000,17200,3500
107,八德區,1034,1301-0000,17200,3500
107,八德區,1034,1304-0000,17200,3500
107,八德區,1034,1306-0000,17200,3500
107,八德區,1034,1310-0000,5800,1200
107,八德區,1034,1314-0000,17200,3500
107,八德區,1034,1321-0001,5800,1200
107,八德區,1034,1337-0000,13600,2800
107,八德區,1034,1343-0000,11500,2300
107,八德區,1034,1346-0000,11500,2300
107,八德區,1034,1347-0000,11500,2300
107,八德區,1034,1349-0000,11500,2300
107,八德區,1034,1361-0000,17200,3500
107,八德區,1034,1372-0000,17200,3500
107,八德區,1034,1375-0000,8739,1775
107,八德區,1034,1377-0000,10400,2100
107,八德區,1034,1384-0000,10400,2100
107,八德區,1034,1399-0000,19200,3900
107,八德區,1034,1400-0000,19200,3900
107,八德區,1034,1421-0000,6200,1300
107,八德區,1034,1447-0000,6337,1327
107,八德區,1034,1454-0000,10400,2100
107,八德區,1034,1455-0000,10400,2100
107,八德區,1034,1462-0000,17200,3500
107,八德區,1034,1466-0000,17200,3500
107,八德區,1034,1487-0000,11500,2300
107,八德區,1034,1500-0000,10617,2130
107,八德區,1034,1507-0000,17200,3500
107,八德區,1034,1512-0000,17200,3500
107,八德區,1034,1529-0000,10400,2100
107,八德區,1034,1531-0000,6292,1317
107,八德區,1034,1532-0000,6523,1362
107,八德區,1034,1534-0000,6200,1300
107,八德區,1034,1535-0000,6200,1300
107,八德區,1034,1536-0000,6200,1300
107,八德區,1034,1551-0000,10400,2100
107,八德區,1035,0022-0000,15200,3100
107,八德區,1035,0034-0000,14700,3000
107,八德區,1035,0036-0000,7000,1400
107,八德區,1035,0045-0000,14700,3000
107,八德區,1035,0046-0000,14700,3000
107,八德區,1035,0048-0000,14700,3000
107,八德區,1035,0070-0000,7014,1403
107,八德區,1035,0072-0000,7014,1403
107,八德區,1035,0225-0000,15200,3100
107,八德區,1035,0226-0000,7000,1400
107,八德區,1035,0227-0000,7000,1400
107,八德區,1035,0241-0000,7000,1400
107,八德區,1035,0244-0000,17500,3600
107,八德區,1035,0245-0000,17500,3600
107,八德區,1035,0247-0000,17500,3600
107,八德區,1035,0248-0000,17500,3600
107,八德區,1035,0252-0000,17500,3600
107,八德區,1035,0261-0000,6582,1375
107,八德區,1035,0264-0000,6200,1300
107,八德區,1035,0275-0000,6200,1300
107,八德區,1035,0283-0000,6200,1300
107,八德區,1035,0291-0000,6200,1300
107,八德區,1035,0293-0000,19900,4100
107,八德區,1035,0298-0000,19900,4100
107,八德區,1035,0302-0000,19900,4100
107,八德區,1035,0323-0000,19900,4100
107,八德區,1035,0327-0000,19900,4100
107,八德區,1035,0332-0000,19900,4100
107,八德區,1035,0344-0000,6200,1300
107,八德區,1035,0369-0000,6200,1300
107,八德區,1035,0395-0000,12300,2500
107,八德區,1035,0402-0000,19200,3900
107,八德區,1035,0403-0000,8219,1697
107,八德區,1035,0409-0000,12300,2500
107,八德區,1035,0411-0000,12300,2500
107,八德區,1035,0420-0000,12300,2500
107,八德區,1035,0428-0000,12300,2500
107,八德區,1035,0439-0000,6200,1300
107,八德區,1035,0444-0000,9564,1953
107,八德區,1035,0452-0000,10031,2046
107,八德區,1035,0455-0000,10084,2057
107,八德區,1035,0458-0000,12800,2600
107,八德區,1035,0460-0000,12800,2600
107,八德區,1035,0472-0000,12800,2600
107,八德區,1035,0492-0000,6419,1324
107,八德區,1035,0498-0000,9501,1940
107,八德區,1035,0499-0000,9690,1978
107,八德區,1035,0500-0000,9809,2002
107,八德區,1035,0506-0000,9564,1953
107,八德區,1035,0515-0000,9534,1947
107,八德區,1035,0516-0000,9459,1932
107,八德區,1035,0522-0000,22438,4608
107,八德區,1035,0540-0000,6300,1300
107,八德區,1035,0542-0000,6300,1300
107,八德區,1035,0553-0000,6300,1300
107,八德區,1035,0560-0000,6300,1300
107,八德區,1035,0569-0000,6300,1300
107,八德區,1035,0570-0000,6300,1300
107,八德區,1035,0603-0000,17400,3600
107,八德區,1035,0630-0000,17699,3659
107,八德區,1035,0633-0000,6300,1300
107,八德區,1035,0640-0000,13500,2800
107,八德區,1035,0641-0000,13500,2800
107,八德區,1035,0655-0000,6300,1300
107,八德區,1035,0664-0000,10584,2193
107,八德區,1035,0678-0000,17400,3600
107,八德區,1035,0688-0000,20100,4100
107,八德區,1035,0718-0000,20100,4100
107,八德區,1035,0737-0000,20100,4100
107,八德區,1035,0744-0000,20100,4100
107,八德區,1035,0747-0000,20100,4100
107,八德區,1035,0749-0000,20100,4100
107,八德區,1035,0753-0000,27400,5600
107,八德區,1035,0764-0000,20100,4100
107,八德區,1035,0766-0000,20100,4100
107,八德區,1035,0768-0000,20553,4193
107,八德區,1035,0771-0000,20100,4100
107,八德區,1035,0777-0000,20100,4100
107,八德區,1035,0781-0000,20100,4100
107,八德區,1035,0787-0000,20100,4100
107,八德區,1035,0791-0000,20100,4100
107,八德區,1035,0811-0000,7213,1466
107,八德區,1035,0818-0000,8500,1700
107,八德區,1035,0820-0000,8500,1700
107,八德區,1035,0829-0000,8500,1700
107,八德區,1035,0835-0000,6300,1300
107,八德區,1035,0839-0000,6300,1300
107,八德區,1035,0843-0000,7985,1606
107,八德區,1035,0848-0000,6373,1313
107,八德區,1035,0849-0000,6300,1300
107,八德區,1035,0852-0002,6300,
107,八德區,1035,0862-0000,6710,1374
107,八德區,1035,0863-0000,6712,1375
107,八德區,1035,0864-0000,6685,1370
107,八德區,1035,0871-0000,8483,1737
107,八德區,1035,0872-0000,6300,1300
107,八德區,1035,0877-0000,8664,1773
107,八德區,1035,0884-0000,12800,2600
107,八德區,1035,0887-0000,12800,2600
107,八德區,1035,0891-0000,25205,5169
107,八德區,1035,0901-0000,20800,4300
107,八德區,1035,0902-0000,20800,4300
107,八德區,1035,0906-0000,19164,3952
107,八德區,1035,0924-0000,6200,1300
107,八德區,1035,0925-0000,6200,1300
107,八德區,1035,0932-0000,6200,1300
107,八德區,1035,0935-0000,6200,1300
107,八德區,1035,0940-0000,6200,1300
107,八德區,1035,0941-0000,7041,1446
107,八德區,1035,0968-0000,21200,4300
107,八德區,1035,0971-0000,21200,4300
107,八德區,1035,0974-0000,8555,1712
107,八德區,1035,0980-0000,18400,3800
107,八德區,1035,0982-0000,18400,3800
107,八德區,1035,0996-0000,13500,2800
107,八德區,1035,1035-0000,18400,3800
107,八德區,1035,1038-0000,18400,3800
107,八德區,1035,1050-0000,8500,1700
107,八德區,1035,1051-0000,7511,1569
107,八德區,1035,1053-0000,13500,2800
107,八德區,1035,1054-0000,13500,2800
107,八德區,1035,1055-0000,13500,2800
107,八德區,1035,1077-0000,13500,2800
107,八德區,1035,1084-0000,11856,2462
107,八德區,1035,1089-0000,8779,1830
107,八德區,1035,1090-0000,6948,1454
107,八德區,1035,1093-0000,6200,1300
107,八德區,1035,1104-0000,6200,1300
107,八德區,1035,1116-0000,12800,2600
107,八德區,1035,1127-0000,12800,2600
107,八德區,1035,1139-0000,12800,2600
107,八德區,1035,1146-0000,10007,2050
107,八德區,1035,1148-0000,27530,5620
107,八德區,1035,1150-0000,16800,3400
107,八德區,1035,1151-0000,6200,1300
107,八德區,1035,1152-0000,24634,5047
107,八德區,1035,1156-0000,25392,5198
107,八德區,1035,1163-0000,28400,5800
107,八德區,1035,1180-0000,19400,4000
107,八德區,1035,1181-0000,19400,4000
107,八德區,1035,1191-0000,6200,1300
107,八德區,1035,1193-0000,6200,1300
107,八德區,1035,1196-0000,6200,1300
107,八德區,1035,1211-0000,13500,2800
107,八德區,1035,1226-0000,12800,2600
