年份,行政區,段小段,地號,面積,公告現值,公告地價
109,八德區,1013,0355-0000,108.89,18200,3800
109,八德區,1013,0356-0000,145.06,18200,3800
109,八德區,1013,0357-0000,11.92,18200,3800
109,八德區,1013,0358-0000,150.92,18200,3800
109,八德區,1013,0359-0000,108.91,18200,3800
109,八德區,1013,0360-0000,108.89,18200,3800
109,八德區,1013,0361-0000,108.91,18200,3800
109,八德區,1013,0362-0000,108.9,18200,3800
109,八德區,1013,0363-0000,108.9,18200,3800
109,八德區,1013,0364-0000,126.92,18200,3800
109,八德區,1013,0365-0000,132.56,18200,3800
109,八德區,1013,0366-0000,108.91,18200,3800
109,八德區,1013,0367-0000,108.89,18200,3800
109,八德區,1013,0368-0000,108.91,18200,3800
109,八德區,1013,0369-0000,108.9,18200,3800
109,八德區,1013,0370-0000,108.9,18200,3800
109,八德區,1013,0371-0000,129.98,18200,3800
109,八德區,1013,0372-0000,117.96,18200,3800
109,八德區,1013,0373-0000,23.62,18200,3800
109,八德區,1013,0374-0000,39.48,18200,3800
109,八德區,1013,0375-0000,337.86,18200,3800
109,八德區,1013,0376-0000,19.15,18200,3800
109,八德區,1013,0377-0000,156.12,18200,3800
109,八德區,1013,0378-0000,121.67,18200,3800
109,八德區,1013,0379-0000,91.43,18200,3800
109,八德區,1013,0380-0000,91.45,18200,3800
109,八德區,1013,0381-0000,91.44,18200,3800
109,八德區,1013,0382-0000,92.94,18200,3800
109,八德區,1013,0383-0000,96.17,18200,3800
109,八德區,1013,0384-0000,96.99,18200,3800
109,八德區,1013,0385-0000,99.19,18200,3800
109,八德區,1013,0386-0000,101.37,18200,3800
109,八德區,1013,0387-0000,103.58,18200,3800
109,八德區,1013,0388-0000,141,18200,3800
109,八德區,1013,0389-0000,558.19,18200,3800
109,八德區,1013,0390-0000,209.35,6300,1300
109,八德區,1013,0391-0000,91.56,18200,3800
109,八德區,1013,0392-0000,286.49,6300,1300
109,八德區,1013,0392-0001,208.38,6300,1300
109,八德區,1013,0392-0002,381.04,6300,1300
109,八德區,1013,0392-0003,132,6300,1300
109,八德區,1013,0392-0004,2677.75,6300,1300
109,八德區,1013,0392-0008,738.81,6300,1300
109,八德區,1013,0392-0010,478.65,6300,1300
109,八德區,1013,0392-0011,478.65,6300,1300
109,八德區,1013,0392-0012,478.65,6300,1300
109,八德區,1013,0392-0013,478.65,6300,1300
109,八德區,1013,0393-0000,73.01,18200,3800
109,八德區,1013,0394-0000,270.28,6300,1300
109,八德區,1013,0395-0000,1132.97,6300,1300
109,八德區,1013,0396-0000,1132.97,6300,1300
109,八德區,1013,0397-0000,1132.98,6300,1300
109,八德區,1013,0398-0000,1132.98,6300,1300
109,八德區,1013,0399-0000,1132.98,6300,1300
109,八德區,1013,0400-0000,1132.98,6300,1300
109,八德區,1013,0401-0000,1132.99,6300,1300
109,八德區,1013,0402-0000,530.19,6300,1300
109,八德區,1013,0402-0002,609.88,6300,1300
109,八德區,1013,0402-0003,609.88,6300,1300
109,八德區,1013,0402-0009,748.9,6300,1300
109,八德區,1013,0402-0010,91.28,6300,1300
109,八德區,1013,0793-0000,1631.17,10582,2190
109,八德區,1013,0794-0000,143.92,10481,2168
109,八德區,1013,0795-0000,990.09,11100,2300
109,八德區,1013,0796-0000,882.02,11077,2295
109,八德區,1013,0797-0000,170.15,9945,2054
109,八德區,1013,0798-0000,144.36,7767,1591
109,八德區,1013,0799-0000,141.39,6400,1300
109,八德區,1013,0800-0000,126.57,11100,2300
109,八德區,1013,0801-0000,387.9,11094,2299
109,八德區,1013,0802-0000,1283.05,11100,2300
109,八德區,1013,0803-0000,66.36,11100,2300
109,八德區,1013,0804-0000,17960.28,6782,1396
109,八德區,1013,0805-0000,776.58,6300,1300
109,八德區,1013,0806-0000,13591.65,6300,1300
109,八德區,1013,0807-0000,496.69,6300,1300
109,八德區,1013,0808-0000,412.09,6300,1300
109,八德區,1013,0809-0000,6810.99,6886,1413
109,八德區,1013,0810-0000,231.68,8900,1800
109,八德區,1013,0811-0000,492.66,7649,1550
109,八德區,1013,0812-0000,7150.42,8081,1640
109,八德區,1013,0813-0000,1399.01,6925,1420
109,八德區,1013,0814-0000,317.09,6300,1300
109,八德區,1013,0815-0000,136.18,6400,1300
109,八德區,1013,0816-0000,115.05,6400,1300
109,八德區,1013,0817-0000,141.64,6400,1300
109,八德區,1013,0818-0000,298.14,6400,1300
109,八德區,1013,0819-0000,128.45,6400,1300
109,八德區,1013,0820-0000,404.76,18200,3800
109,八德區,1013,0821-0000,491.4,6400,1300
109,八德區,1013,0822-0000,323.41,6400,1300
109,八德區,1013,0823-0000,105.48,6400,1300
109,八德區,1013,0824-0000,485.71,6400,1300
109,八德區,1013,0825-0000,234.02,6400,1300
109,八德區,1013,0826-0000,776.07,6400,1300
109,八德區,1013,0827-0000,168.37,6400,1300
109,八德區,1013,0828-0000,277.34,6821,1384
109,八德區,1013,0829-0000,2939.36,6874,1395
109,八德區,1013,0830-0000,3838.7,6400,1300
109,八德區,1013,0831-0000,166.39,18200,3800
109,八德區,1013,0832-0000,43.03,18200,3800
109,八德區,1013,0833-0000,94.78,18200,3800
109,八德區,1013,0834-0000,121.75,25200,5200
109,八德區,1013,0835-0000,81.98,25200,5200
109,八德區,1013,0836-0000,77.37,18200,3800
109,八德區,1013,0837-0000,79.43,18200,3800
109,八德區,1013,0838-0000,83.58,25200,5200
109,八德區,1013,0839-0000,8.91,25200,5200
109,八德區,1013,0840-0000,153.84,22726,4705
109,八德區,1013,0841-0000,62.25,18200,3800
109,八德區,1013,0842-0000,50.26,18200,3800
109,八德區,1013,0843-0000,40.37,18200,3800
109,八德區,1013,0844-0000,80.09,25200,5200
109,八德區,1013,0845-0000,7.08,25200,5200
109,八德區,1013,0846-0000,89.64,25200,5200
109,八德區,1013,0847-0000,87.28,18200,3800
109,八德區,1013,0848-0000,85.59,18200,3800
109,八德區,1013,0849-0000,81.96,25200,5200
109,八德區,1013,0850-0000,8.13,25200,5200
109,八德區,1013,0851-0000,8.57,25200,5200
109,八德區,1013,0852-0000,80.57,25200,5200
109,八德區,1013,0853-0000,34.16,18200,3800
109,八德區,1013,0854-0000,51.75,18200,3800
109,八德區,1013,0855-0000,52.45,18200,3800
109,八德區,1013,0856-0000,33.55,18200,3800
109,八德區,1013,0857-0000,79.34,25200,5200
109,八德區,1013,0858-0000,9.04,25200,5200
109,八德區,1013,0859-0000,12.3,25200,5200
109,八德區,1013,0860-0000,113.09,23116,4783
109,八德區,1013,0861-0000,56.8,18200,3800
109,八德區,1013,0862-0000,92.23,18200,3800
109,八德區,1013,0863-0000,153.65,23180,4796
109,八德區,1013,0864-0000,26.2,25200,5200
109,八德區,1013,0865-0000,1609.98,7079,1436
109,八德區,1013,0866-0000,118.82,6400,1300
109,八德區,1013,0867-0000,3315.42,6720,1364
109,八德區,1013,0868-0000,3316.68,6911,1402
109,八德區,1013,0869-0000,10954.23,7053,1431
109,八德區,1013,0870-0000,2713.29,7671,1560
109,八德區,1013,0871-0000,1189.19,8715,1764
109,八德區,1013,0872-0000,12942.61,6459,1332
109,八德區,1013,0873-0000,787.02,20558,4272
109,八德區,1013,0874-0000,2544.53,21318,4424
109,八德區,1013,0875-0000,472.73,25200,5200
109,八德區,1013,0876-0000,2671.58,9160,1866
109,八德區,1013,0877-0000,3255.54,9274,1885
109,八德區,1013,0878-0000,2267.52,8729,1772
109,八德區,1013,0879-0000,5114.46,6713,1367
109,八德區,1013,0880-0000,4285.99,10136,2099
109,八德區,1013,0881-0000,2539.89,8236,1703
109,八德區,1013,0882-0000,1563.9,11100,2300
109,八德區,1013,0883-0000,225.29,11100,2300
109,八德區,1013,0884-0000,594.52,10875,2252
109,八德區,1013,0885-0000,46.81,11100,2300
109,八德區,1013,0886-0000,344.68,9565,1973
109,八德區,1013,0887-0000,1835.77,6741,1373
109,八德區,1013,0888-0000,1019.45,6729,1370
109,八德區,1013,0889-0000,275.63,6400,1300
109,八德區,1013,0890-0000,314.54,7684,1573
109,八德區,1013,0891-0000,367.1,6400,1300
109,八德區,1013,0892-0000,284.59,9613,1984
109,八德區,1013,1783-0000,66,23100,4800
109,八德區,1013,1784-0000,59.09,23100,4800
109,八德區,1013,1785-0000,31.99,23100,4800
109,八德區,1013,1786-0000,272.67,23100,4800
109,八德區,1013,1787-0000,34.11,23100,4800
109,八德區,1013,1788-0000,39.1,23100,4800
109,八德區,1013,1789-0000,46.56,23100,4800
109,八德區,1013,1790-0000,21.29,23100,4800
109,八德區,1013,1791-0000,16.4,23100,4800
109,八德區,1013,1792-0000,49,23100,4800
109,八德區,1013,0416-0000,91.7,18200,3800
109,八德區,1013,0417-0000,134.06,18200,3800
109,八德區,1013,0418-0000,258.39,6300,1300
109,八德區,1013,0419-0000,100.14,6531,1344
109,八德區,1013,0420-0000,10500.44,7100,1454
109,八德區,1013,0421-0000,198.55,8900,1800
109,八德區,1013,0422-0000,204.73,8900,1800
109,八德區,1013,0423-0000,191.73,8900,1800
109,八德區,1013,0424-0000,90.44,6300,1300
109,八德區,1013,0425-0000,240.2,6300,1300
109,八德區,1013,0425-0002,307.6,6300,1300
109,八德區,1013,0425-0003,240.2,6300,1300
109,八德區,1013,0425-0004,240.2,6300,1300
109,八德區,1013,0425-0005,240.2,6300,1300
109,八德區,1013,0425-0006,240.2,6300,1300
109,八德區,1013,0425-0007,1010.16,6300,1300
109,八德區,1013,0427-0000,4945.04,18200,3800
109,八德區,1013,0428-0000,304.94,6300,1300
109,八德區,1013,0428-0001,304.94,6300,1300
109,八德區,1013,0428-0002,139.79,6300,1300
109,八德區,1013,0430-0000,439.81,6300,1300
109,八德區,1013,0430-0001,57.2,6300,1300
109,八德區,1013,0431-0000,1223.8,6300,1300
109,八德區,1013,0431-0001,245.11,6300,1300
109,八德區,1013,0431-0002,677.26,6300,1300
109,八德區,1013,0432-0000,219.88,6300,1300
109,八德區,1013,0433-0000,1874.41,6300,1300
109,八德區,1013,0434-0000,6051.06,6680,1373
109,八德區,1013,0435-0000,370.57,7388,1509
109,八德區,1013,0436-0000,159.23,8900,1800
109,八德區,1013,0437-0000,3719.65,6300,1300
109,八德區,1013,0438-0000,445.06,6300,1300
109,八德區,1013,0439-0000,3409.73,6300,1300
109,八德區,1013,0442-0000,681.24,6300,1300
109,八德區,1013,0443-0000,681.25,6300,1300
109,八德區,1013,0444-0000,494.65,6300,1300
109,八德區,1013,0445-0000,681.64,6300,1300
109,八德區,1013,0446-0000,682.73,6300,1300
109,八德區,1013,0447-0000,852.88,6300,1300
109,八德區,1013,0448-0000,852.19,6300,1300
109,八德區,1013,0449-0000,483.28,6300,1300
109,八德區,1013,0450-0000,852.09,6300,1300
109,八德區,1013,0451-0000,851.46,6300,1300
109,八德區,1013,0452-0000,332.4,6300,1300
109,八德區,1013,0453-0000,798.71,6300,1300
109,八德區,1013,0454-0000,682.46,6300,1300
109,八德區,1013,0455-0000,477.27,7022,1450
109,八德區,1013,0456-0000,1131.46,6300,1300
109,八德區,1013,0457-0000,1131.76,6300,1300
109,八德區,1013,0458-0000,1702.27,6300,1300
109,八德區,1013,0459-0000,1702.67,6596,1362
109,八德區,1013,0460-0000,238.86,6893,1424
109,八德區,1013,0461-0000,6011.08,6324,1305
109,八德區,1013,0462-0000,1171.33,6658,1375
109,八德區,1013,0463-0000,178.28,6300,1300
109,八德區,1013,0464-0000,1159.65,6300,1300
109,八德區,1013,0465-0000,194.58,6300,1300
109,八德區,1013,0466-0000,614.12,12000,2500
109,八德區,1013,0467-0000,410.76,12000,2500
109,八德區,1013,0468-0000,1018.06,12000,2500
109,八德區,1013,0469-0000,1352.08,6300,1300
109,八德區,1013,0470-0000,703.26,6300,1300
109,八德區,1013,0471-0000,650.62,6300,1300
109,八德區,1013,0472-0000,416.33,6300,1300
109,八德區,1013,0473-0000,937.18,6300,1300
109,八德區,1013,0474-0000,1352.19,6300,1300
109,八德區,1013,0475-0000,555.88,6300,1300
109,八德區,1013,0476-0000,1000.99,6300,1300
109,八德區,1013,0477-0000,1001.02,6300,1300
109,八德區,1013,0478-0000,1000.99,6300,1300
109,八德區,1013,0479-0000,746.29,6300,1300
109,八德區,1013,0480-0000,38.59,6300,1300
109,八德區,1013,0481-0000,254.68,6300,1300
109,八德區,1013,0482-0000,962.53,6300,1300
109,八德區,1013,0483-0000,912.79,6300,1300
109,八德區,1013,0484-0000,912.24,6300,1300
109,八德區,1013,0485-0000,1001,6300,1300
109,八德區,1013,0486-0000,1000.99,6300,1300
109,八德區,1013,0487-0000,698.46,6300,1300
109,八德區,1013,0488-0000,302.55,6300,1300
109,八德區,1013,0489-0000,786.31,6300,1300
109,八德區,1013,0490-0000,215.01,6300,1300
109,八德區,1013,0491-0000,453.46,6300,1300
109,八德區,1013,0492-0000,547.77,6300,1300
109,八德區,1013,0493-0000,1309.6,6300,1300
109,八德區,1013,0991-0000,58.5,23800,4900
109,八德區,1013,0992-0000,58.5,23800,4900
109,八德區,1013,0993-0000,58.5,23800,4900
109,八德區,1013,0994-0000,53.38,23800,4900
109,八德區,1013,0995-0000,81.04,8900,1800
109,八德區,1013,0893-0000,1139.23,6400,1300
109,八德區,1013,0894-0000,117.17,6400,1300
109,八德區,1013,0895-0000,3228.3,6400,1300
109,八德區,1013,0896-0000,1479.14,6400,1300
109,八德區,1013,0897-0000,11121.29,6400,1300
109,八德區,1013,0898-0000,562.03,6400,1300
109,八德區,1013,0899-0000,8612.32,6400,1300
109,八德區,1013,0900-0000,229,6400,1300
109,八德區,1013,0901-0000,158.34,6400,1300
109,八德區,1013,0902-0000,1791.04,6400,1300
109,八德區,1013,0903-0000,1734.19,6400,1300
109,八德區,1013,0904-0000,129.88,6400,1300
109,八德區,1013,0905-0000,2017.86,8345,1714
109,八德區,1013,0906-0000,185.13,11100,2300
109,八德區,1013,0907-0000,200.63,11100,2300
109,八德區,1013,0908-0000,173.58,11100,2300
109,八德區,1013,0909-0000,129.1,6433,1307
109,八德區,1013,0910-0000,40.99,6400,1300
109,八德區,1013,0911-0000,32079.28,6400,1300
109,八德區,1013,0912-0000,130.55,6400,1300
109,八德區,1013,0913-0000,82.05,6400,1300
109,八德區,1013,0914-0000,110.41,6400,1300
109,八德區,1013,0915-0000,81.38,6400,1300
109,八德區,1013,0916-0000,3661.84,6400,1300
109,八德區,1013,0917-0000,4099.89,19283,4001
109,八德區,1013,0917-0001,132.23,26663,5550
109,八德區,1013,0918-0000,915.93,9163,1888
109,八德區,1013,0919-0000,385.6,7491,1532
109,八德區,1013,0919-0001,385.6,8250,1694
109,八德區,1013,0920-0000,749.96,10276,2125
109,八德區,1013,0921-0000,186.92,11100,2300
109,八德區,1013,0922-0000,0.06,11100,2300
109,八德區,1013,0923-0000,418.72,11100,2300
109,八德區,1013,0924-0000,48.54,11100,2300
109,八德區,1013,0925-0000,370.92,11100,2300
109,八德區,1013,0926-0000,2500,7261,1483
109,八德區,1013,0926-0001,3304.42,6890,1404
109,八德區,1013,0927-0000,442.56,11100,2300
109,八德區,1013,0928-0000,499.52,11100,2300
109,八德區,1013,0929-0000,332.45,11100,2300
109,八德區,1013,0930-0000,68,11100,2300
109,八德區,1013,0931-0000,1169.94,8620,1772
109,八德區,1013,0932-0000,2802.23,7326,1497
109,八德區,1013,0934-0000,213.8,6603,1343
109,八德區,1013,0935-0000,4530.16,6400,1300
109,八德區,1013,0936-0000,13256.22,6400,1300
109,八德區,1013,0937-0000,592.31,6400,1300
109,八德區,1013,0938-0000,491.57,6400,1300
109,八德區,1013,0939-0000,848.11,6400,1300
109,八德區,1013,0940-0000,831.27,6400,1300
109,八德區,1013,0941-0000,2004.01,6400,1300
109,八德區,1013,0942-0000,3890.23,17847,3640
109,八德區,1013,0943-0000,49.46,26900,5600
109,八德區,1013,0944-0000,37.83,11100,2300
109,八德區,1013,0945-0000,390.17,11100,2300
109,八德區,1013,0946-0000,296.69,11100,2300
109,八德區,1013,0947-0000,44.77,11100,2300
109,八德區,1013,0948-0000,445.91,11100,2300
109,八德區,1013,0949-0000,142.68,9105,1875
109,八德區,1013,0950-0000,1564.74,6839,1393
109,八德區,1013,0951-0000,155.09,6400,1300
109,八德區,1013,0952-0000,67.81,6400,1300
109,八德區,1013,0953-0000,525.04,6400,1300
109,八德區,1013,0954-0000,4688.42,6400,1300
109,八德區,1013,0955-0000,276.3,6400,1300
109,八德區,1013,0956-0000,6936.71,6400,1300
109,八德區,1013,0957-0000,799.95,6400,1300
109,八德區,1013,0958-0000,747.38,6400,1300
109,八德區,1013,0959-0000,3311.13,6400,1300
109,八德區,1013,0960-0000,1469.08,6400,1300
109,八德區,1013,0961-0000,728.11,18800,3900
109,八德區,1013,0962-0000,2909.69,6400,1300
109,八德區,1013,0963-0000,3636.32,6400,1300
109,八德區,1013,0964-0000,3377.47,6400,1300
109,八德區,1013,0965-0000,3906.52,6400,1300
109,八德區,1013,0966-0000,1009.19,6400,1300
109,八德區,1013,0967-0000,7273.23,6400,1300
109,八德區,1013,0968-0000,490.76,6400,1300
109,八德區,1013,0969-0000,1850.43,6400,1300
109,八德區,1013,0970-0000,147.92,6400,1300
109,八德區,1013,0971-0000,343.82,6400,1300
109,八德區,1013,0972-0000,791.29,6400,1300
109,八德區,1013,0973-0000,260.94,6400,1300
109,八德區,1013,0974-0000,311.51,6400,1300
109,八德區,1013,0975-0000,11004,6400,1300
109,八德區,1013,0976-0000,11415.54,6400,1300
109,八德區,1013,0977-0000,115.96,6400,1300
109,八德區,1013,0978-0000,96.31,6400,1300
109,八德區,1013,0979-0000,58.51,6400,1300
109,八德區,1013,0980-0000,143.38,8488,1718
109,八德區,1013,0981-0000,193.23,8202,1660
109,八德區,1013,0982-0000,674.98,23800,4900
109,八德區,1013,0983-0000,74.44,23800,4900
109,八德區,1013,0984-0000,60.26,23800,4900
109,八德區,1013,0985-0000,58.5,23800,4900
109,八德區,1013,0986-0000,58.5,23800,4900
109,八德區,1013,0987-0000,58.51,23800,4900
109,八德區,1013,0988-0000,58.5,23800,4900
109,八德區,1013,0989-0000,58.5,23800,4900
109,八德區,1013,0990-0000,58.5,23800,4900
109,八德區,1013,1295-0000,274.68,11100,2300
109,八德區,1013,1296-0000,7.23,11100,2300
109,八德區,1013,1297-0000,41.81,11100,2300
109,八德區,1013,1298-0000,26.65,11100,2300
109,八德區,1013,1299-0000,96.53,10397,2151
109,八德區,1013,1300-0000,190.93,6400,1300
109,八德區,1013,1301-0000,420.16,11100,2300
109,八德區,1013,1301-0001,452.19,11099,2300
109,八德區,1013,1301-0002,548.5,10596,2193
109,八德區,1013,1301-0003,567.15,9717,2006
109,八德區,1013,1301-0004,648.59,8879,1827
109,八德區,1013,1301-0005,571.38,7502,1535
109,八德區,1013,1301-0006,1121.87,7028,1434
109,八德區,1013,1302-0000,142.69,11100,2300
109,八德區,1013,1303-0000,180.67,11100,2300
109,八德區,1013,1304-0000,37.73,26900,5600
109,八德區,1013,1305-0000,25.21,11100,2300
109,八德區,1013,1306-0000,179.22,11100,2300
109,八德區,1013,1307-0000,132.65,11100,2300
109,八德區,1013,1308-0000,124.52,11100,2300
109,八德區,1013,1312-0000,448.82,11100,2300
109,八德區,1013,1313-0000,22.43,11100,2300
109,八德區,1013,1314-0000,469.27,10698,2215
109,八德區,1013,1315-0000,43.02,18379,3755
109,八德區,1013,1316-0000,461.15,17200,3500
109,八德區,1013,1317-0000,490.12,9546,1969
109,八德區,1013,1318-0000,1591.95,6594,1341
109,八德區,1013,1319-0000,1433.28,17200,3500
109,八德區,1013,1320-0000,1906.79,6400,1300
109,八德區,1013,1321-0000,434,17200,3500
109,八德區,1013,1321-0001,529.48,17200,3500
109,八德區,1013,1323-0000,88.02,17200,3500
109,八德區,1013,1324-0000,173.13,17200,3500
109,八德區,1013,1325-0000,124.08,17200,3500
109,八德區,1013,1326-0000,304.81,17200,3500
109,八德區,1013,0510-0000,1018,6300,1300
109,八德區,1013,0511-0000,164.75,6300,1300
109,八德區,1013,0512-0000,1019,6300,1300
109,八德區,1013,0513-0000,1019.03,6300,1300
109,八德區,1013,0514-0000,356.86,6300,1300
109,八德區,1013,0515-0000,959.56,6300,1300
109,八德區,1013,0516-0000,742.26,6300,1300
109,八德區,1013,0517-0000,223.81,6300,1300
109,八德區,1013,0518-0000,193.6,6300,1300
109,八德區,1013,0519-0000,709.19,6300,1300
109,八德區,1013,0520-0000,432.05,6300,1300
109,八德區,1013,0521-0000,519.27,6300,1300
109,八德區,1013,0522-0000,353.94,6300,1300
109,八德區,1013,0523-0000,82.98,6300,1300
109,八德區,1013,0524-0000,885.17,18200,3800
109,八德區,1013,0526-0000,2241.51,7113,1459
109,八德區,1013,0527-0000,1694.88,8407,1711
109,八德區,1013,0529-0000,195.69,10400,2100
109,八德區,1013,0530-0000,124.39,10400,2100
109,八德區,1013,0531-0000,674.08,8611,1751
109,八德區,1013,0532-0000,696.98,8589,1747
