年份,行政區,段小段,地號,面積,公告現值,公告地價
109,八德區,1013,0299-0000,4013.89,6300,1300
109,八德區,1013,0300-0000,40.49,6300,1300
109,八德區,1013,0301-0000,118.07,6300,1300
109,八德區,1013,0302-0000,233.24,6300,1300
109,八德區,1013,0303-0000,53.02,7235,1480
109,八德區,1013,0304-0000,6414.27,6321,1304
109,八德區,1013,0305-0000,239.54,6300,1300
109,八德區,1013,0306-0000,3066.16,6300,1300
109,八德區,1013,0307-0000,1066.87,6300,1300
109,八德區,1013,0308-0000,162.81,6300,1300
109,八德區,1013,0309-0000,105.4,6300,1300
109,八德區,1013,0310-0000,111.03,6300,1300
109,八德區,1013,0311-0000,130.61,6300,1300
109,八德區,1013,0312-0000,88.61,6300,1300
109,八德區,1013,0313-0000,94.54,6300,1300
109,八德區,1013,0314-0000,92.88,6300,1300
109,八德區,1013,0315-0000,95.37,6300,1300
109,八德區,1013,1295-0000,274.68,11100,2300
109,八德區,1013,1296-0000,7.23,11100,2300
109,八德區,1013,1297-0000,41.81,11100,2300
109,八德區,1013,1298-0000,26.65,11100,2300
109,八德區,1013,1299-0000,96.53,10397,2151
109,八德區,1013,1300-0000,190.93,6400,1300
109,八德區,1013,1301-0000,420.16,11100,2300
109,八德區,1013,1301-0001,452.19,11099,2300
109,八德區,1013,1301-0002,548.5,10596,2193
109,八德區,1013,1301-0003,567.15,9717,2006
109,八德區,1013,1301-0004,648.59,8879,1827
109,八德區,1013,1301-0005,571.38,7502,1535
109,八德區,1013,1301-0006,1121.87,7028,1434
109,八德區,1013,1302-0000,142.69,11100,2300
109,八德區,1013,1303-0000,180.67,11100,2300
109,八德區,1013,1304-0000,37.73,26900,5600
109,八德區,1013,1305-0000,25.21,11100,2300
109,八德區,1013,1306-0000,179.22,11100,2300
109,八德區,1013,1307-0000,132.65,11100,2300
109,八德區,1013,1308-0000,124.52,11100,2300
109,八德區,1013,0732-0003,105.38,17200,3500
109,八德區,1013,0732-0004,100.95,17200,3500
109,八德區,1013,0733-0000,2689.93,17200,3500
109,八德區,1013,0734-0000,209.36,17200,3500
109,八德區,1013,0735-0000,98.36,17200,3500
109,八德區,1013,0736-0000,84.62,17200,3500
109,八德區,1013,0737-0000,126.62,17200,3500
109,八德區,1013,0738-0000,132.27,17200,3500
109,八德區,1013,0739-0000,2524.93,6400,1300
109,八德區,1013,0739-0001,2524.94,6400,1300
109,八德區,1013,0739-0002,2524.94,6400,1300
109,八德區,1013,0739-0003,2524.94,6400,1300
109,八德區,1013,0739-0004,2524.94,6400,1300
109,八德區,1013,0740-0000,701.18,6400,1300
109,八德區,1013,0742-0000,463.48,17200,3500
109,八德區,1013,0743-0000,696.53,17200,3500
109,八德區,1013,0743-0001,136.26,17200,3500
109,八德區,1013,0743-0002,257.3,17200,3500
109,八德區,1013,0744-0000,251.11,6400,1300
109,八德區,1013,0745-0000,1089.88,17200,3500
109,八德區,1013,0745-0001,524.35,17200,3500
109,八德區,1013,0746-0000,92.2,17200,3500
109,八德區,1013,0747-0000,418.66,17200,3500
109,八德區,1013,0748-0000,1319.97,17200,3500
109,八德區,1013,0748-0001,321.08,6400,1300
109,八德區,1013,0749-0000,1856.39,17200,3500
109,八德區,1013,0750-0000,150.61,17200,3500
109,八德區,1013,0750-0001,1383.38,17200,3500
109,八德區,1013,0751-0000,1142.91,6400,1300
109,八德區,1013,0752-0000,526.67,6400,1300
109,八德區,1013,0753-0000,2119.62,6400,1300
109,八德區,1013,0753-0001,264.95,6400,1300
109,八德區,1013,0753-0002,1059.8,6400,1300
109,八德區,1013,0753-0003,264.95,6400,1300
109,八德區,1013,0753-0004,264.95,6400,1300
109,八德區,1013,0753-0005,264.95,6400,1300
109,八德區,1013,0754-0000,1370.93,6400,1300
109,八德區,1013,0755-0000,200.42,6400,1300
109,八德區,1013,0756-0000,111.12,7545,1544
109,八德區,1013,0757-0000,446.73,6400,1300
109,八德區,1013,0758-0000,13.22,11100,2300
109,八德區,1013,0759-0000,279.22,11100,2300
109,八德區,1013,0760-0000,23.3,11100,2300
109,八德區,1013,0761-0000,71.21,11100,2300
109,八德區,1013,0762-0000,3.33,11100,2300
109,八德區,1013,0763-0000,87.71,11100,2300
109,八德區,1013,0764-0000,53.44,11100,2300
109,八德區,1013,0765-0000,196.95,11100,2300
109,八德區,1013,0766-0000,73.04,11100,2300
109,八德區,1013,0767-0000,7383.13,8714,1792
109,八德區,1013,0768-0000,2602.64,7713,1579
109,八德區,1013,0769-0000,306.75,11100,2300
109,八德區,1013,0770-0000,271.54,9221,1906
109,八德區,1013,0771-0000,564.92,8280,1713
109,八德區,1013,0772-0000,561.79,9223,1909
109,八德區,1013,0773-0000,605.58,11100,2300
109,八德區,1013,0774-0000,643.29,9244,1905
109,八德區,1013,0775-0000,49.11,8817,1814
109,八德區,1013,0776-0000,60.49,11100,2300
109,八德區,1013,0777-0000,118.22,10675,2211
109,八德區,1013,0777-0001,5.07,11100,2300
109,八德區,1013,0777-0002,4.38,11100,2300
109,八德區,1013,0778-0000,490.16,11100,2300
109,八德區,1013,0778-0001,101.75,11100,2300
109,八德區,1013,0779-0000,129.49,11077,2295
109,八德區,1013,0780-0000,957.84,11100,2300
109,八德區,1013,0781-0000,1514.29,8756,1801
109,八德區,1013,0782-0000,430.36,9538,1968
109,八德區,1013,0783-0000,230.68,6400,1300
109,八德區,1013,0784-0000,434.91,6716,1367
109,八德區,1013,0785-0000,660.24,6432,1307
109,八德區,1013,0786-0000,837.47,9784,2020
109,八德區,1013,0787-0000,973.23,10682,2211
109,八德區,1013,0788-0000,664.8,10193,2076
109,八德區,1013,0789-0000,2743.37,8801,1821
109,八德區,1013,0403-0000,255.46,6300,1300
109,八德區,1013,0404-0000,119.2,6300,1300
109,八德區,1013,0404-0001,78,6300,1300
109,八德區,1013,0404-0002,1.94,6300,1300
109,八德區,1013,0405-0000,116.56,18200,3800
109,八德區,1013,0406-0000,74.41,18200,3800
109,八德區,1013,0407-0000,97.86,18200,3800
109,八德區,1013,0408-0000,85.79,18200,3800
109,八德區,1013,0409-0000,336.48,18200,3800
109,八德區,1013,0410-0000,17.02,18200,3800
109,八德區,1013,0411-0000,48.36,18200,3800
109,八德區,1013,0412-0000,167.43,18200,3800
109,八德區,1013,0413-0000,88.27,18200,3800
109,八德區,1013,0414-0000,94.17,18200,3800
109,八德區,1013,0415-0000,94.3,18200,3800
109,八德區,1013,0346-0000,108.91,18200,3800
109,八德區,1013,0347-0000,108.9,18200,3800
109,八德區,1013,0348-0000,122.62,18200,3800
109,八德區,1013,0349-0000,116.33,18200,3800
109,八德區,1013,0350-0000,108.89,18200,3800
109,八德區,1013,0351-0000,108.91,18200,3800
109,八德區,1013,0352-0000,108.9,18200,3800
109,八德區,1013,0353-0000,108.9,18200,3800
109,八德區,1013,0354-0000,108.91,18200,3800
