年份,﻿行政區,段小段,地號,公告現值,公告地價
106,八德區,1020,0299-0000,52900,10900
106,八德區,1020,0293-0000,38900,7900
106,八德區,1020,0086-0000,6500,1400
106,八德區,1020,0079-0000,19500,3900
106,八德區,1020,0083-0000,19500,3900
106,八德區,1020,0033-0000,19500,3900
106,八德區,1020,0036-0000,19500,3900
106,八德區,1020,0014-0000,6500,1400
106,八德區,1020,0018-0000,19500,3900
106,八德區,1020,0022-0000,6500,1400
106,八德區,1020,0024-0000,6500,1400
106,八德區,1020,0001-0000,6500,1400
106,八德區,1020,0752-0000,70500,14200
106,八德區,1021,0067-0000,70500,14200
106,八德區,1021,0051-0000,70500,14200
106,八德區,1021,0054-0000,70500,14200
106,八德區,1021,0050-0000,70500,14200
106,八德區,1021,0565-0000,45700,9400
106,八德區,1021,0546-0000,53100,11000
106,八德區,1021,0538-0000,50739,10489
106,八德區,1021,0537-0000,45700,9400
106,八德區,1021,0498-0000,45700,9400
106,八德區,1021,0441-0000,45700,9400
106,八德區,1021,0433-0000,45700,9400
106,八德區,1021,0492-0000,45700,9400
106,八德區,1021,0491-0000,45700,9400
106,八德區,1021,0452-0000,45700,9400
106,八德區,1021,0486-0000,45700,9400
106,八德區,1021,0496-0000,45700,9400
106,八德區,1021,0462-0000,45700,9400
106,八德區,1021,0459-0000,45700,9400
106,八德區,1021,0479-0000,45700,9400
106,八德區,1021,0505-0000,45700,9400
106,八德區,1021,0450-0000,45700,9400
106,八德區,1021,0455-0000,45700,9400
106,八德區,1021,0484-0000,45700,9400
106,八德區,1021,0500-0000,45700,9400
106,八德區,1021,0439-0000,45700,9400
106,八德區,1021,0407-0000,45700,9400
106,八德區,1021,0442-0000,45700,9400
106,八德區,1021,0401-0000,45700,9400
106,八德區,1021,0411-0000,45700,9400
106,八德區,1021,0413-0000,45700,9400
106,八德區,1021,0514-0000,52700,11100
106,八德區,1021,0466-0000,50211,10495
106,八德區,1021,0465-0000,46827,9674
106,八德區,1021,0464-0000,45700,9400
106,八德區,1021,0474-0000,45700,9400
106,八德區,1021,0333-0000,45700,9400
106,八德區,1021,0330-0000,45700,9400
106,八德區,1021,0357-0000,49967,10436
106,八德區,1021,0361-0000,45700,9400
106,八德區,1021,0369-0000,49220,10255
106,八德區,1021,0365-0000,45700,9400
106,八德區,1021,0388-0000,45700,9400
106,八德區,1021,0385-0000,45700,9400
106,八德區,1021,0258-0000,45700,9400
106,八德區,1021,0247-0000,51350,10622
106,八德區,1021,0250-0000,51332,10618
106,八德區,1021,0255-0000,45700,9400
106,八德區,1021,0268-0000,45700,9400
106,八德區,1021,0236-0000,53100,11000
106,八德區,1021,0240-0000,45700,9400
106,八德區,1021,0243-0000,45700,9400
106,八德區,1021,0265-0000,45700,9400
106,八德區,1021,0304-0000,46385,9545
106,八德區,1021,0375-0000,52700,11100
106,八德區,1021,0308-0000,29500,6300
106,八德區,1021,0163-0000,70500,14200
106,八德區,1021,0170-0000,54605,11415
106,八德區,1021,0171-0000,70500,14200
106,八德區,1021,0161-0000,70500,14200
106,八德區,1021,0158-0000,70500,14200
106,八德區,1021,0154-0000,70500,14200
106,八德區,1021,0114-0000,70500,14200
106,八德區,1021,0126-0000,70500,14200
106,八德區,1021,0125-0000,70500,14200
106,八德區,1021,0121-0000,70500,14200
106,八德區,1021,0113-0000,70500,14200
106,八德區,1021,0109-0000,70500,14200
106,八德區,1021,0104-0000,70500,14200
106,八德區,1021,0105-0000,70500,14200
106,八德區,1021,0173-0000,56595,11783
106,八德區,1021,0172-0000,70500,14200
106,八德區,1021,0195-0000,29500,6300
106,八德區,1021,0573-0000,101000,20000
106,八德區,1021,0575-0000,101000,20000
106,八德區,1021,0014-0000,70500,14200
106,八德區,1021,0571-0000,101000,20000
106,八德區,1021,0206-0000,53100,11000
106,八德區,1021,0582-0000,36660,7740
106,八德區,1022,0586-0000,39005,8121
106,八德區,1022,0610-0000,29700,6100
106,八德區,1022,0575-0000,41433,8648
106,八德區,1022,0621-0000,49500,10400
106,八德區,1022,0592-0000,29700,6100
106,八德區,1022,0614-0000,29700,6100
106,八德區,1022,0791-0000,29700,6100
106,八德區,1022,0804-0000,29700,6100
106,八德區,1022,0801-0000,29700,6100
106,八德區,1022,0767-0000,27400,5700
106,八德區,1022,0793-0000,27400,5700
106,八德區,1022,0672-0000,29700,6100
106,八德區,1022,0675-0000,29700,6100
106,八德區,1022,0679-0000,29700,6100
106,八德區,1022,0682-0000,29700,6100
106,八德區,1022,0695-0000,29700,6100
106,八德區,1022,0689-0000,29700,6100
106,八德區,1022,0694-0000,29700,6100
106,八德區,1022,0709-0000,29700,6100
106,八德區,1022,0685-0000,29700,6100
106,八德區,1022,0714-0000,29700,6100
106,八德區,1022,0799-0000,8000,1700
106,八德區,1022,0342-0000,28500,5700
106,八德區,1022,0372-0000,28500,5700
106,八德區,1022,0347-0000,28500,5700
106,八德區,1022,0380-0000,28500,5700
106,八德區,1022,0371-0000,28500,5700
106,八德區,1022,0368-0000,28500,5700
106,八德區,1022,0360-0000,28500,5700
106,八德區,1022,0364-0000,28500,5700
106,八德區,1022,0441-0000,28500,5700
106,八德區,1022,0455-0000,28500,5700
106,八德區,1022,0458-0000,28500,5700
106,八德區,1022,0432-0000,28500,5700
106,八德區,1022,0415-0000,35876,7253
106,八德區,1022,0270-0000,41500,8500
106,八德區,1022,0266-0000,50105,10272
106,八德區,1022,0275-0000,41500,8500
106,八德區,1022,0271-0000,41500,8500
106,八德區,1022,0251-0000,41500,8500
106,八德區,1022,0248-0000,41500,8500
106,八德區,1022,0245-0000,41500,8500
106,八德區,1022,0172-0000,58500,12000
106,八德區,1022,0176-0000,44079,9031
106,八德區,1022,0200-0000,41500,8500
106,八德區,1022,0193-0000,41500,8500
106,八德區,1022,0179-0000,44161,9048
106,八德區,1022,0190-0000,41500,8500
106,八德區,1022,0164-0000,58500,12000
106,八德區,1022,0183-0000,43888,8992
