年份,行政區,段小段,地號,公告現值,公告地價
108,八德區,0170,0782-0001,77800,
108,八德區,0170,0783-0001,77800,
108,八德區,0170,0784-0001,77800,
108,八德區,0170,0785-0001,77800,
108,八德區,0170,0786-0001,77800,
108,八德區,0170,0787-0001,77800,
108,八德區,0170,0792-0001,77800,
108,八德區,1004,0775-0001,19100,
108,八德區,1004,0776-0001,19100,
108,八德區,1004,0777-0002,19100,
108,八德區,1001,0534-0001,23012,
108,八德區,1001,0534-0002,20733,
108,八德區,1001,0534-0003,20733,
108,八德區,1001,0534-0004,34500,
108,八德區,1001,0534-0005,20733,
108,八德區,1001,0824-0001,20733,
108,八德區,1001,0825-0001,20733,
108,八德區,1001,0826-0001,20733,
108,八德區,1001,0827-0001,20733,
108,八德區,1001,0828-0001,20733,
108,八德區,1001,0828-0002,20733,
108,八德區,1001,0829-0001,20733,
108,八德區,1001,0830-0001,20733,
108,八德區,1001,0831-0001,20733,
108,八德區,1001,0832-0001,20733,
108,八德區,1001,0833-0001,22988,
108,八德區,1001,0834-0001,34500,
108,八德區,1001,0835-0001,34500,
108,八德區,1001,0836-0001,34500,
108,八德區,1001,0852-0001,48400,
108,八德區,1001,0853-0001,48400,
108,八德區,1001,0854-0001,48400,
108,八德區,1001,0855-0001,48400,
108,八德區,1001,0856-0001,48400,
108,八德區,1001,0857-0001,48400,
108,八德區,1001,0858-0001,48400,
108,八德區,1001,0859-0001,48400,
108,八德區,1001,0860-0001,48400,
108,八德區,1001,0861-0001,48400,
108,八德區,1001,0862-0001,34500,
108,八德區,1001,0863-0001,37282,
108,八德區,1001,0864-0001,48400,
108,八德區,1001,0865-0001,48400,
108,八德區,1001,0866-0001,48400,
108,八德區,0165,0529-0001,53700,
108,八德區,0165,0530-0001,53700,
108,八德區,0165,0536-0001,39500,
108,八德區,0165,0537-0001,39500,
108,八德區,0165,0566-0001,39500,
108,八德區,0165,0569-0001,39500,
108,八德區,0165,0571-0001,51722,
108,八德區,0165,0572-0002,53700,
108,八德區,0165,0572-0003,44937,
108,八德區,1000,0306-0007,51494,
108,八德區,1013,0392-0010,6100,
108,八德區,1013,0392-0011,6100,
108,八德區,1013,0392-0012,6100,
108,八德區,1013,0392-0013,6100,
108,八德區,1016,0047-0001,66300,
108,八德區,1016,0047-0002,66300,
108,八德區,1016,0048-0001,66300,
108,八德區,1016,0150-0001,66300,
108,八德區,1007,1867-0005,27200,
108,八德區,1020,0320-0008,37600,
108,八德區,0166,0521-0001,91400,
108,八德區,0166,0522-0001,91400,
108,八德區,0166,0523-0001,66383,
108,八德區,0166,0563-0001,34000,
108,八德區,0166,0563-0002,34000,
108,八德區,0166,0563-0003,34000,
108,八德區,0166,0564-0001,34000,
108,八德區,0166,0564-0002,34000,
108,八德區,0166,0565-0001,34000,
108,八德區,0166,0565-0002,34000,
108,八德區,0166,0568-0001,34000,
108,八德區,0166,0568-0002,34000,
108,八德區,0166,0568-0003,34000,
108,八德區,0166,0569-0001,34000,
108,八德區,0166,0569-0002,34000,
108,八德區,0166,0569-0003,34000,
108,八德區,0166,0570-0001,45472,
108,八德區,0166,0570-0002,40017,
108,八德區,1002,0149-0002,39963,
108,八德區,1002,0149-0003,39963,
108,八德區,1002,0150-0001,39963,
108,八德區,1002,0151-0001,39963,
108,八德區,1002,0152-0001,39963,
108,八德區,1002,0153-0001,39963,
108,八德區,1002,0157-0003,39963,
108,八德區,1002,0161-0001,34686,
108,八德區,1002,0463-0001,34686,
108,八德區,1002,0464-0001,34686,
108,八德區,1002,0465-0001,34686,
108,八德區,1002,0466-0001,34686,
108,八德區,1002,0467-0001,34686,
108,八德區,1002,0468-0001,34686,
108,八德區,1002,0469-0001,34686,
108,八德區,1002,0470-0001,34686,
108,八德區,1002,0471-0001,34686,
108,八德區,1002,0477-0001,34686,
108,八德區,1002,0524-0001,42792,
108,八德區,1002,0524-0002,39963,
108,八德區,1002,0524-0003,39963,
108,八德區,0156,0385-0002,9474,
108,八德區,1009,1520-0000,7200,
108,八德區,0167,0587-0023,53200,
108,八德區,0167,0587-0024,53200,
108,八德區,1000,0999-0001,20733,
108,八德區,1013,1473-0001,16500,
108,八德區,1013,1473-0002,16500,
108,八德區,0165,0070-0003,92300,
108,八德區,0165,0070-0004,92300,
108,八德區,0165,0070-0005,92300,
108,八德區,0165,0070-0006,92300,
108,八德區,0165,0071-0002,92300,
108,八德區,0165,0071-0003,92300,
108,八德區,0165,0071-0004,92300,
108,八德區,0155,0079-0002,34400,
108,八德區,0164,0481-0001,21200,
108,八德區,0159,0001-0016,7400,
108,八德區,0159,0001-0017,7400,
108,八德區,0159,0001-0006,7400,
108,八德區,0159,0001-0007,7400,
108,八德區,0159,0001-0008,7400,
108,八德區,0159,0001-0009,7400,
108,八德區,0159,0001-0010,7400,
108,八德區,0159,0001-0011,7400,
108,八德區,0159,0001-0012,7400,
108,八德區,0159,0001-0013,7400,
108,八德區,0159,0001-0014,7400,
108,八德區,0159,0001-0015,7400,
108,八德區,0159,0004-0002,7400,
108,八德區,0159,0004-0003,7400,
108,八德區,1017,1504-0001,9704,
108,八德區,1017,1504-0002,5800,
108,八德區,1017,1504-0003,5800,
108,八德區,1017,1504-0004,5800,
108,八德區,1017,1504-0005,5800,
108,八德區,1017,1504-0006,5800,
108,八德區,0167,0162-0009,53200,
108,八德區,1001,1022-0000,47947,9907
108,八德區,1001,0872-0001,48400,
108,八德區,1001,0873-0001,48400,
108,八德區,1001,0874-0001,48400,
108,八德區,1001,0875-0001,48400,
108,八德區,1001,0876-0001,48400,
108,八德區,1001,0877-0001,48400,
108,八德區,1001,0878-0001,48400,
108,八德區,1001,0879-0001,48400,
108,八德區,1001,0880-0001,48400,
108,八德區,1001,0881-0001,48400,
108,八德區,1001,0892-0001,48400,
108,八德區,1001,0893-0001,48400,
108,八德區,1001,0894-0001,48400,
108,八德區,1001,0895-0001,36400,
108,八德區,1001,0896-0001,36400,
108,八德區,1001,0929-0001,36400,
108,八德區,1001,0930-0001,36400,
108,八德區,1001,0932-0001,36400,
108,八德區,1001,0933-0001,36400,
108,八德區,1001,0934-0001,36400,
108,八德區,1001,0935-0001,36400,
108,八德區,1001,0936-0001,36400,
108,八德區,1001,0957-0001,36400,
108,八德區,1001,0983-0001,36400,
108,八德區,1001,0984-0001,36400,
108,八德區,1001,0985-0001,36400,
108,八德區,1001,0986-0001,36400,
108,八德區,1001,0987-0001,36400,
108,八德區,1001,0988-0001,36400,
108,八德區,1001,1004-0001,36400,
108,八德區,1001,1005-0001,36400,
108,八德區,1001,1006-0001,36400,
108,八德區,1001,1007-0001,36400,
108,八德區,1001,1008-0001,36400,
108,八德區,1001,1009-0001,36400,
108,八德區,1001,1010-0001,36400,
108,八德區,1001,1011-0001,36400,
108,八德區,1001,1012-0001,36400,
108,八德區,1001,1013-0001,36400,
108,八德區,1001,1014-0001,36400,
108,八德區,1001,1015-0001,36400,
108,八德區,1001,1016-0001,36400,
108,八德區,1001,1017-0001,36400,
108,八德區,1001,1018-0001,36400,
108,八德區,1001,1018-0002,36400,
108,八德區,1001,1020-0001,48400,
108,八德區,1001,1020-0002,48400,
108,八德區,1001,1021-0001,48400,
108,八德區,1001,1022-0001,48089,
108,八德區,1001,1023-0001,36400,
108,八德區,1001,1024-0001,36400,
108,八德區,1001,1081-0001,36400,
108,八德區,1001,1082-0001,36400,
108,八德區,1001,1083-0001,36400,
108,八德區,1001,1084-0001,36400,
108,八德區,1001,1085-0001,36400,
108,八德區,1001,1162-0001,36400,
108,八德區,1001,1018-0000,36400,7500
108,八德區,0156,0098-0007,8000,
108,八德區,0156,0098-0008,8000,
108,八德區,0156,0130-0001,8000,
108,八德區,0156,0130-0002,8000,
108,八德區,0156,0145-0001,8000,
108,八德區,0156,0145-0002,8000,
108,八德區,0156,0099-0009,8000,
108,八德區,0156,0131-0001,8000,
108,八德區,0156,0131-0002,8000,
108,八德區,0156,0132-0001,8000,
108,八德區,0156,0132-0002,8000,
108,八德區,0156,0144-0002,8000,
108,八德區,0156,0144-0003,8000,
108,八德區,0156,0144-0004,8000,
108,八德區,0156,0144-0005,8000,
108,八德區,0156,0147-0001,8000,
108,八德區,0156,0147-0002,8000,
108,八德區,0156,0148-0001,8000,
108,八德區,0156,0148-0002,8000,
108,八德區,0156,0161-0001,8000,
108,八德區,0156,0161-0002,8000,
108,八德區,0156,0174-0001,8000,
108,八德區,0156,0174-0002,8000,
108,八德區,0156,0170-0001,8000,
108,八德區,0156,0170-0002,8000,
108,八德區,0156,0175-0003,8000,
108,八德區,0156,0175-0004,8000,
108,八德區,0156,0175-0005,8000,
108,八德區,0156,0177-0001,8000,
108,八德區,0156,0177-0002,8000,
108,八德區,0157,1122-0001,46000,
108,八德區,0157,1123-0001,46000,
108,八德區,0171,0091-0001,47500,
108,八德區,1007,1388-0001,7800,
108,八德區,1007,1390-0001,7800,
108,八德區,1007,1390-0002,7800,
108,八德區,1007,1393-0006,7800,
108,八德區,1007,1393-0007,7800,
108,八德區,1007,1394-0001,7800,
108,八德區,1007,1395-0001,7800,
108,八德區,1007,1395-0002,7800,
108,八德區,1007,1396-0001,7800,
108,八德區,1007,1396-0002,7800,
108,八德區,1007,1398-0001,7800,
108,八德區,1007,1398-0002,7800,
108,八德區,1007,1399-0001,7800,
108,八德區,1007,1399-0002,7800,
108,八德區,1007,1401-0001,7800,
108,八德區,1007,1402-0001,7800,
108,八德區,1007,1442-0001,7800,
108,八德區,1007,1445-0004,7800,
108,八德區,1007,1445-0005,7800,
108,八德區,1007,1445-0006,7800,
108,八德區,1007,1445-0007,7800,
108,八德區,1007,1446-0003,7827,
108,八德區,1007,1446-0004,8040,
108,八德區,1007,1459-0007,9300,
108,八德區,1024,0536-0001,6900,
108,八德區,1020,0928-0001,60500,
108,八德區,1020,0928-0002,60500,
108,八德區,1020,0928-0003,60500,
108,八德區,1020,0928-0004,60500,
108,八德區,1020,0928-0005,60500,
108,八德區,1020,0928-0006,60500,
108,八德區,1020,0928-0007,60500,
108,八德區,1020,0928-0008,60500,
108,八德區,1020,0928-0009,60500,
108,八德區,1020,0928-0010,60500,
108,八德區,1020,0928-0011,60500,
108,八德區,1020,0928-0012,60500,
108,八德區,1020,0607-0001,52900,
108,八德區,1020,0607-0002,46231,
108,八德區,1020,0607-0003,52900,
108,八德區,1032,0127-0001,27900,
108,八德區,0166,0310-0001,54200,
108,八德區,1016,0307-0001,38000,
108,八德區,1016,0321-0001,38000,
108,八德區,1016,0321-0002,38000,
108,八德區,1016,0321-0003,38000,
108,八德區,1016,0425-0001,38000,
108,八德區,1016,0426-0001,38000,
108,八德區,1012,0969-0001,28100,
108,八德區,1012,0969-0002,28100,
108,八德區,1012,0969-0003,28100,
108,八德區,1012,0970-0001,28100,
108,八德區,1012,0970-0002,28100,
108,八德區,1012,0970-0003,28100,
108,八德區,1012,0970-0004,28100,
108,八德區,1016,0559-0002,28500,
108,八德區,1016,0560-0002,28500,
108,八德區,1012,1535-0001,28100,
108,八德區,1012,1536-0001,28100,
108,八德區,1012,1536-0002,28100,
108,八德區,1012,1537-0001,28100,
108,八德區,1012,1539-0001,28100,
108,八德區,1012,1543-0001,28100,
108,八德區,1012,1546-0001,25300,
108,八德區,1012,1547-0001,25300,
108,八德區,1012,1547-0002,25300,
108,八德區,1012,1548-0001,25300,
108,八德區,1012,1548-0002,25300,
108,八德區,1012,1553-0001,25300,
108,八德區,1012,1554-0001,25300,
108,八德區,1011,0188-0001,63600,
108,八德區,1011,0189-0001,63600,
108,八德區,1011,0226-0001,63600,
108,八德區,1011,0227-0001,63600,
108,八德區,1011,0290-0001,63600,
108,八德區,1011,0291-0001,63600,
108,八德區,1011,0292-0001,63600,
108,八德區,1011,0306-0001,63600,
108,八德區,1011,0308-0001,63600,
108,八德區,1011,0377-0001,62196,
108,八德區,1011,0395-0001,28100,
108,八德區,1011,0399-0001,28100,
108,八德區,1011,0400-0001,54300,
108,八德區,1011,0401-0001,54300,
108,八德區,1011,1018-0001,28100,
108,八德區,1011,1021-0001,28100,
108,八德區,1011,1080-0001,28100,
108,八德區,1011,1083-0001,28100,
108,八德區,1011,1105-0001,28100,
108,八德區,1011,1106-0001,28100,
108,八德區,1011,1107-0001,28100,
108,八德區,1011,1107-0002,28100,
108,八德區,1011,1134-0001,28100,
108,八德區,1011,1136-0001,28100,
108,八德區,1011,1163-0001,28100,
108,八德區,1011,1164-0001,28100,
108,八德區,1011,1164-0002,28100,
108,八德區,1011,1165-0001,28100,
108,八德區,1011,1168-0001,28100,
108,八德區,1011,1172-0001,28100,
108,八德區,1011,1347-0001,28100,
108,八德區,1007,1441-0001,7800,
108,八德區,1007,1441-0002,7800,
108,八德區,1020,0517-0002,37600,
108,八德區,1034,1264-0001,10100,
108,八德區,1034,1265-0001,10100,
108,八德區,1010,0245-0001,28500,
108,八德區,1010,0246-0001,28500,
108,八德區,1010,0260-0001,28500,
108,八德區,1010,0263-0001,63600,
108,八德區,1010,0264-0001,63600,
108,八德區,1010,0325-0001,63600,
108,八德區,1010,0710-0001,63600,
108,八德區,1029,0196-0002,18531,
108,八德區,1029,0196-0003,18531,
108,八德區,1004,0510-0001,8900,
108,八德區,1017,0013-0001,63600,
108,八德區,1017,0015-0001,63600,
108,八德區,1017,0389-0001,63600,
108,八德區,1017,1004-0001,63600,
108,八德區,1017,1085-0001,63600,
108,八德區,1017,1086-0001,63600,
108,八德區,1017,1087-0001,63600,
108,八德區,1017,1261-0001,63600,
108,八德區,1017,1506-0001,28100,
108,八德區,1017,1603-0001,28100,
108,八德區,1017,1605-0001,28100,
108,八德區,1017,1606-0001,28100,
108,八德區,1017,1609-0001,28100,
108,八德區,1017,1611-0001,28100,
108,八德區,1017,2332-0001,28100,
108,八德區,1017,2332-0002,28100,
108,八德區,1017,2496-0001,28100,
108,八德區,1017,2500-0001,28100,
108,八德區,1017,2501-0001,28100,
108,八德區,1017,2501-0002,28100,
108,八德區,1017,2501-0003,27640,
108,八德區,1017,2501-0004,25300,
108,八德區,1017,2502-0002,28100,
108,八德區,1017,2502-0003,28100,
108,八德區,1017,2504-0003,6200,
108,八德區,1017,2504-0004,6200,
108,八德區,1017,2504-0005,19420,
108,八德區,1017,2523-0001,46900,
108,八德區,1017,2523-0002,46900,
108,八德區,1017,2523-0003,46900,
108,八德區,1017,2523-0004,46900,
108,八德區,1017,2530-0001,46900,
108,八德區,1017,2530-0002,46900,
108,八德區,1017,2646-0001,28100,
108,八德區,1017,2647-0001,28100,
108,八德區,1017,2648-0001,28100,
108,八德區,1017,2648-0002,28100,
108,八德區,1017,2649-0001,28100,
108,八德區,1017,2649-0002,28100,
108,八德區,1017,2649-0003,28100,
108,八德區,1017,2650-0001,28100,
108,八德區,1017,2651-0001,28100,
108,八德區,1017,2654-0001,28100,
108,八德區,1017,2814-0164,43400,
108,八德區,1017,2814-0165,43400,
108,八德區,1017,2814-0166,43400,
108,八德區,1017,2814-0167,43400,
108,八德區,1017,2814-0168,43400,
108,八德區,1017,2814-0169,43400,
108,八德區,1017,2814-0170,43400,
108,八德區,1017,2814-0171,43400,
108,八德區,1017,2814-0172,43400,
108,八德區,1017,2816-0001,25300,
108,八德區,1017,2816-0002,25300,
108,八德區,1017,2817-0001,25300,
108,八德區,1017,2818-0001,25300,
108,八德區,1017,2831-0001,6200,
108,八德區,1017,2865-0001,25300,
108,八德區,1017,2866-0001,25300,
108,八德區,1017,2867-0001,43400,
108,八德區,1017,2867-0002,43400,
108,八德區,1017,2869-0001,25300,
108,八德區,1017,2869-0002,25300,
108,八德區,1017,2870-0001,25300,
108,八德區,0160,0765-0004,42400,
108,八德區,1016,0321-0004,38000,
108,八德區,1016,0321-0005,38000,
108,八德區,1008,0505-0006,35600,
108,八德區,0158,0518-0005,64200,
108,八德區,1009,0518-0001,18900,
108,八德區,1009,0518-0002,18900,
108,八德區,0167,0529-0001,27200,
108,八德區,1016,0321-0006,38000,
108,八德區,0158,0602-0001,64200,
108,八德區,0158,0602-0002,64200,
108,八德區,0158,0602-0003,64200,
108,八德區,1016,0321-0007,38000,
108,八德區,1016,0321-0008,38000,
108,八德區,1016,0321-0009,38000,
108,八德區,1016,0321-0010,38000,
108,八德區,1016,0321-0011,38000,
108,八德區,1016,0321-0012,38000,
108,八德區,1016,0321-0013,38000,
108,八德區,1016,0321-0014,38000,
108,八德區,1016,0321-0015,38000,
108,八德區,1016,0321-0016,38000,
108,八德區,1016,0321-0017,38000,
108,八德區,1016,0321-0018,38000,
108,八德區,1016,0340-0001,38000,
108,八德區,1018,0755-0001,60040,
108,八德區,0166,0582-0020,39500,
108,八德區,0166,0582-0021,39500,
108,八德區,0166,0582-0022,39500,
108,八德區,0159,0004-0004,7400,
108,八德區,1027,0467-0001,5900,
108,八德區,1034,0509-0001,22100,
108,八德區,1027,0467-0002,5900,
108,八德區,1032,0515-0001,14117,
108,八德區,1032,0515-0002,18330,
108,八德區,1032,0515-0003,14117,
108,八德區,1032,0518-0001,14117,
108,八德區,1032,0630-0001,14117,
108,八德區,0158,0290-0002,85300,
108,八德區,0158,0290-0003,77317,
108,八德區,0158,0291-0001,72776,
108,八德區,1022,1415-0003,57000,
108,八德區,1022,1415-0004,57000,
108,八德區,1017,1687-0002,14900,
108,八德區,1000,0064-0002,45200,
108,八德區,1007,1749-0001,12314,
108,八德區,1004,0278-0003,17900,
108,八德區,1002,0994-0006,8600,
108,八德區,0158,0469-0003,64200,
108,八德區,0158,0469-0004,64200,
108,八德區,1027,1079-0001,12500,
108,八德區,1027,1081-0001,12500,
108,八德區,1027,1082-0001,12500,
108,八德區,1027,1084-0001,12500,
108,八德區,1027,1086-0001,12500,
108,八德區,1030,1352-0001,18600,
108,八德區,1030,1352-0002,18600,
108,八德區,0167,0145-0008,9200,
108,八德區,1009,1496-0004,8559,
108,八德區,1009,1497-0003,9949,
108,八德區,1014,0568-0007,17200,
108,八德區,0167,0145-0009,9200,
108,八德區,0167,0145-0010,9200,
108,八德區,0167,0168-0004,9200,
108,八德區,0167,0168-0005,9200,
108,八德區,0167,0169-0009,9200,
108,八德區,0167,0169-0010,9200,
108,八德區,0167,0169-0011,9200,
108,八德區,0167,0169-0012,9200,
108,八德區,0167,0169-0013,9200,
108,八德區,0167,0372-0001,9200,
108,八德區,0167,0373-0002,9200,
108,八德區,0167,0374-0001,9200,
108,八德區,0167,0374-0002,9200,
108,八德區,0171,0070-0005,66300,
108,八德區,0171,0070-0006,66300,
108,八德區,0171,0070-0007,67496,
108,八德區,0171,0070-0008,66300,
108,八德區,0171,0070-0009,66300,
108,八德區,0171,0070-0010,66300,
108,八德區,0171,0070-0011,66300,
108,八德區,0171,0070-0012,66300,
108,八德區,0171,0071-0001,119189,
108,八德區,0171,0074-0002,114000,
108,八德區,0171,0078-0002,114000,
108,八德區,0171,0081-0001,114000,
108,八德區,0171,0609-0005,54954,
108,八德區,0171,0630-0001,66300,
108,八德區,0160,0755-0001,125000,
108,八德區,0160,0756-0001,125000,
108,八德區,0160,0756-0002,125000,
108,八德區,0160,0810-0001,140000,
108,八德區,0160,0811-0001,140000,
108,八德區,0160,0890-0001,175000,
108,八德區,0160,0892-0001,175000,
108,八德區,0160,1112-0001,174212,
108,八德區,0160,1128-0001,171000,
108,八德區,0160,1147-0001,171000,
108,八德區,0166,0006-0001,92300,
108,八德區,0166,0008-0001,92300,
108,八德區,0166,0009-0001,92300,
108,八德區,0166,0011-0001,92300,
108,八德區,0165,0111-0001,52640,
108,八德區,0165,0111-0002,92300,
108,八德區,0165,0112-0001,47455,
108,八德區,0165,0140-0005,92300,
108,八德區,0165,0140-0006,67019,
108,八德區,0161,1170-0001,112174,
108,八德區,1016,0001-0001,116000,
108,八德區,1016,0002-0001,116000,
108,八德區,1016,0266-0001,116000,
108,八德區,1016,0268-0001,116000,
108,八德區,1016,0275-0001,80000,
108,八德區,1016,0276-0001,80000,
108,八德區,1016,0276-0002,80000,
108,八德區,1016,0278-0001,80000,
108,八德區,1016,0284-0001,76028,
108,八德區,1016,0545-0001,80000,
108,八德區,1016,0547-0001,80000,
108,八德區,1016,0548-0001,80000,
108,八德區,1016,0549-0001,80000,
108,八德區,1016,0550-0001,80000,
108,八德區,1016,0555-0001,80000,
108,八德區,1016,0556-0001,80000,
108,八德區,1016,0560-0003,28500,
108,八德區,1020,0826-0001,79500,
108,八德區,1020,0826-0002,79500,
108,八德區,1020,0917-0001,79500,
108,八德區,1020,0917-0002,79500,
108,八德區,1020,0943-0001,83842,
