年份,行政區,段小段,地號,公告現值,公告地價
108,八德區,1005,0777-0002,19400,4000
108,八德區,1002,1194-0003,24000,5000
108,八德區,1002,1195-0002,24000,5000
108,八德區,1002,1197-0019,24600,5100
108,八德區,1002,1197-0020,24000,5000
108,八德區,1002,1197-0021,24000,5000
108,八德區,0156,0386-0002,8600,
108,八德區,1022,1433-0001,57000,
108,八德區,1022,1433-0002,57000,
108,八德區,1022,1433-0003,57000,
108,八德區,1022,1433-0004,57000,
108,八德區,1022,1433-0005,57000,
108,八德區,1006,1261-0002,36500,
108,八德區,1006,1262-0003,36500,
108,八德區,1032,0128-0001,24893,
108,八德區,1032,0134-0001,20100,
108,八德區,1032,0136-0001,20100,
108,八德區,1032,0139-0001,20100,
108,八德區,1032,0140-0001,20100,
108,八德區,1032,0141-0001,20100,
108,八德區,1032,0141-0002,20100,
108,八德區,1032,0143-0001,20100,
108,八德區,1032,0144-0001,20100,
108,八德區,1032,0145-0001,20100,
108,八德區,1032,0376-0010,7838,
108,八德區,1032,0376-0011,7783,
108,八德區,1028,0597-0018,6500,
108,八德區,0162,0146-0007,41900,
108,八德區,0162,0146-0008,41900,
108,八德區,0167,0358-0001,9200,
108,八德區,1024,0741-0001,15000,
108,八德區,1028,0312-0012,8000,
108,八德區,0155,0179-0002,46000,
108,八德區,1024,0056-0001,6900,
108,八德區,1028,0312-0006,8000,
108,八德區,1028,0312-0007,8000,
108,八德區,1028,0312-0008,8000,
108,八德區,1028,0312-0009,8000,
108,八德區,1028,0312-0010,8000,
108,八德區,1028,0312-0011,8000,
108,八德區,0155,0179-0001,46000,
108,八德區,0155,0179-0003,46000,
108,八德區,0155,0179-0004,46000,
108,八德區,0155,0179-0005,46000,
108,八德區,1002,1198-0005,24600,5100
108,八德區,1002,1210-0002,24600,5100
108,八德區,1002,1211-0006,24000,5000
108,八德區,1002,1211-0007,24000,5000
108,八德區,1002,1211-0008,24600,5100
108,八德區,1002,1212-0007,24000,5000
108,八德區,1002,1212-0008,24000,5000
108,八德區,1002,1212-0009,24000,5000
108,八德區,1002,1212-0010,24600,5100
108,八德區,1002,1212-0011,24600,5100
108,八德區,1002,1212-0012,24000,5000
108,八德區,1002,1213-0002,24000,5000
108,八德區,1002,1214-0002,24000,5000
108,八德區,1002,1218-0003,24000,5000
108,八德區,1002,1218-0004,24000,5000
108,八德區,1002,1223-0003,24000,5000
108,八德區,1002,1223-0004,24000,5000
108,八德區,1002,1241-0006,24000,5000
108,八德區,1002,1242-0005,9600,2000
108,八德區,1000,0812-0001,28800,6000
108,八德區,1000,1012-0001,28800,6000
108,八德區,1002,0092-0001,67600,14000
108,八德區,1002,0824-0001,67600,14000
108,八德區,1016,0239-0009,58073,11991
108,八德區,1005,0682-0001,8900,1900
108,八德區,1029,0962-0001,16300,3500
108,八德區,0156,0175-0002,8000,1700
108,八德區,0122,1232-0003,42500,9000
108,八德區,0160,0295-0002,28000,5800
108,八德區,1003,0822-0005,9100,1900
108,八德區,1033,0159-0001,4800,1000
108,八德區,1033,0159-0002,4800,1000
108,八德區,1033,0159-0003,4800,1000
108,八德區,1003,0709-0009,9100,1900
108,八德區,1017,1834-0001,24581,5082
108,八德區,1017,1834-0002,24200,5000
108,八德區,1028,0490-0001,22577,4650
108,八德區,1028,0490-0002,22781,4693
108,八德區,1027,0450-0001,5900,1200
108,八德區,1027,0450-0002,5900,1200
108,八德區,1027,0450-0003,5900,1200
108,八德區,1026,0140-0001,10188,2145
108,八德區,1026,0140-0002,11505,2431
108,八德區,1026,0140-0003,13200,2800
108,八德區,1020,0320-0006,37600,7600
108,八德區,1020,0320-0007,37600,7600
108,八德區,1014,0659-0001,17200,3600
108,八德區,1013,1678-0001,18100,3800
108,八德區,1030,0752-0001,22600,4600
108,八德區,1018,2528-0004,57900,12200
108,八德區,1018,2528-0005,57900,12200
108,八德區,1018,2528-0006,57900,12200
108,八德區,1018,2528-0007,57900,12200
108,八德區,1018,2528-0008,57900,12200
108,八德區,1018,2528-0009,57900,12200
108,八德區,1018,2528-0010,57900,12200
108,八德區,1018,2528-0011,57900,12200
108,八德區,1018,2528-0012,57900,12200
108,八德區,1018,2528-0013,57900,12200
108,八德區,1002,0830-0009,28800,6000
108,八德區,1002,1195-0003,24000,5000
108,八德區,1002,1197-0028,24600,5100
108,八德區,1002,1197-0029,24000,5000
108,八德區,1009,0516-0001,7200,1500
108,八德區,1002,0994-0005,18547,
108,八德區,1018,1523-0005,58300,
108,八德區,1035,0852-0002,6200,
108,八德區,1019,2174-0003,14400,
108,八德區,1006,0101-0009,9400,
108,八德區,1006,0101-0010,9400,
108,八德區,1006,0101-0011,9400,
108,八德區,1028,0736-0001,18531,
108,八德區,1028,0736-0002,6500,
108,八德區,1028,0744-0001,18531,
108,八德區,1028,0744-0002,6500,
108,八德區,1028,0746-0001,6500,
108,八德區,1028,0747-0001,18531,
108,八德區,1028,0747-0002,26000,
108,八德區,1028,0747-0003,6500,
108,八德區,1002,1197-0030,24600,
108,八德區,1002,1197-0031,24000,
108,八德區,1007,1872-0001,7700,
108,八德區,1007,1872-0002,7700,
108,八德區,1007,1872-0003,7700,
108,八德區,1007,1872-0004,7700,
108,八德區,1007,1872-0005,7700,
108,八德區,1007,1872-0006,7700,
108,八德區,1007,1872-0007,7700,
108,八德區,1007,1872-0008,7700,
108,八德區,1007,1872-0009,7700,
108,八德區,1007,1872-0010,7700,
108,八德區,1007,1872-0011,7700,
108,八德區,1007,1872-0012,7700,
108,八德區,1007,1872-0013,7700,
108,八德區,1007,1872-0014,7700,
108,八德區,1007,1872-0015,7700,
108,八德區,1007,1872-0016,7700,
108,八德區,1007,1872-0017,7700,
108,八德區,1007,1872-0018,7700,
108,八德區,1007,1872-0019,7700,
108,八德區,1007,1872-0020,7700,
108,八德區,1007,1872-0021,7700,
108,八德區,1007,1872-0022,7700,
108,八德區,1007,1872-0023,7700,
108,八德區,1007,1872-0024,7700,
108,八德區,1007,1872-0025,7700,
108,八德區,1007,1872-0026,7700,
108,八德區,1007,1872-0027,7700,
108,八德區,1007,1872-0028,7700,
108,八德區,1017,2145-0001,6200,
108,八德區,1006,0808-0004,9026,
108,八德區,0167,0162-0007,53200,
108,八德區,0163,0868-0002,41900,
108,八德區,0163,0868-0003,41900,
108,八德區,0163,0868-0004,41900,
108,八德區,1027,0199-0001,5900,
108,八德區,1027,0199-0002,5900,
108,八德區,1027,0199-0003,5900,
108,八德區,1027,0199-0004,5900,
108,八德區,1032,0598-0002,24800,
108,八德區,0167,0162-0004,53200,
108,八德區,0167,0162-0005,53200,
108,八德區,0167,0162-0006,53200,
108,八德區,1007,1428-0001,7800,
108,八德區,0167,0162-0008,53200,
108,八德區,0157,0355-0001,60196,
108,八德區,0157,0355-0002,46000,
108,八德區,1000,0897-0001,19800,
108,八德區,1000,0897-0002,19800,
108,八德區,1000,0897-0003,19800,
108,八德區,1000,0897-0004,19800,
108,八德區,1000,0897-0005,19800,
108,八德區,1000,0897-0006,19800,
108,八德區,1019,1700-0003,16700,
108,八德區,1034,1447-0001,6192,
108,八德區,1024,0193-0001,14400,
108,八德區,1000,0998-0001,9100,
108,八德區,1000,0998-0002,9100,
108,八德區,1013,0564-0001,7229,
108,八德區,0170,0781-0001,77800,
