年份,﻿行政區,段小段,地號,公告現值,公告地價
102,八德區,1034,1278-0000,,2700
102,八德區,1034,1279-0000,,2700
102,八德區,1034,1280-0000,,2700
102,八德區,1034,1281-0000,,2700
102,八德區,1034,1282-0000,,2700
102,八德區,1034,1283-0000,,2700
102,八德區,1034,1284-0000,,2700
102,八德區,1034,1285-0000,,2700
102,八德區,1034,1286-0000,,2700
102,八德區,1034,1287-0000,,2700
102,八德區,1034,1288-0000,,2700
102,八德區,1034,1289-0000,,2700
102,八德區,1034,1290-0000,,2700
102,八德區,1034,1291-0000,,2700
102,八德區,1034,1292-0000,,2700
102,八德區,1034,1293-0000,,2700
102,八德區,1034,1294-0000,,2700
102,八德區,1034,1295-0000,,2700
102,八德區,1034,1296-0000,,2700
102,八德區,1034,1297-0000,,2700
102,八德區,1034,1298-0000,,2700
102,八德區,1034,1299-0000,,2700
102,八德區,1034,1300-0000,,2700
102,八德區,1034,1301-0000,,2700
102,八德區,1034,1302-0000,,2700
102,八德區,1034,1303-0000,,2700
102,八德區,1034,1304-0000,,2700
102,八德區,1034,1305-0000,,2700
102,八德區,1034,1306-0000,,2700
102,八德區,1034,1307-0000,,2700
102,八德區,1034,1308-0000,,2700
102,八德區,1034,1309-0000,,2700
102,八德區,1034,1310-0000,,1100
102,八德區,1034,1311-0000,,2700
102,八德區,1034,1312-0000,,2700
102,八德區,1034,1313-0000,,2700
102,八德區,1034,1314-0000,,2700
102,八德區,1034,1315-0000,,2700
102,八德區,1034,1316-0000,,1100
102,八德區,1034,1317-0000,,1100
102,八德區,1034,1318-0000,,1100
102,八德區,1034,1319-0000,,1100
102,八德區,1034,1320-0000,,1100
102,八德區,1034,1321-0000,,1103
102,八德區,1034,1322-0000,,1275
102,八德區,1034,1323-0000,,1920
102,八德區,1034,1324-0000,,1161
102,八德區,1034,1325-0000,,2770
102,八德區,1034,1326-0000,,4500
102,八德區,1034,1327-0000,,2800
102,八德區,1034,1328-0000,,2200
102,八德區,1034,1329-0000,,2800
102,八德區,1034,1330-0000,,2200
102,八德區,1034,1331-0000,,2200
102,八德區,1034,1332-0000,,2800
102,八德區,1034,1333-0000,,2800
102,八德區,1034,1334-0000,,2200
102,八德區,1034,1335-0000,,2200
102,八德區,1034,1336-0000,,2200
102,八德區,1034,1337-0000,,2800
102,八德區,1034,1338-0000,,2200
102,八德區,1034,1339-0000,,2200
102,八德區,1034,1340-0000,,2200
102,八德區,1034,1341-0000,,2200
102,八德區,1034,1342-0000,,2200
102,八德區,1034,1343-0000,,2200
102,八德區,1034,1344-0000,,2200
102,八德區,1034,1345-0000,,2200
102,八德區,1034,1346-0000,,2200
102,八德區,1034,1347-0000,,2200
102,八德區,1034,1348-0000,,2200
102,八德區,1034,1349-0000,,2200
102,八德區,1034,1350-0000,,2200
102,八德區,1034,1351-0000,,2029
102,八德區,1034,1352-0000,,3255
102,八德區,1034,1353-0000,,1727
102,八德區,1034,1354-0000,,3287
102,八德區,1034,1355-0000,,3015
102,八德區,1034,1356-0000,,1100
102,八德區,1034,1357-0000,,1100
102,八德區,1034,1358-0000,,1157
102,八德區,1034,1359-0000,,2600
102,八德區,1034,1360-0000,,2600
102,八德區,1034,1361-0000,,2600
102,八德區,1034,1362-0000,,2600
102,八德區,1034,1363-0000,,2600
102,八德區,1034,1364-0000,,1100
102,八德區,1034,1365-0000,,1100
102,八德區,1034,1366-0000,,2700
102,八德區,1034,1367-0000,,2700
102,八德區,1034,1368-0000,,2700
102,八德區,1034,1369-0000,,2700
102,八德區,1034,1370-0000,,2700
102,八德區,1034,1371-0000,,2700
102,八德區,1034,1372-0000,,2700
102,八德區,1034,1373-0000,,1390
102,八德區,1034,1374-0000,,2100
102,八德區,1034,1375-0000,,1781
102,八德區,1034,1376-0000,,2100
102,八德區,1034,1377-0000,,2100
102,八德區,1034,1378-0000,,2100
102,八德區,1034,1379-0000,,2100
102,八德區,1034,1380-0000,,2100
102,八德區,1034,1381-0000,,2100
102,八德區,1034,1382-0000,,2100
102,八德區,1034,1383-0000,,2100
102,八德區,1034,1384-0000,,2100
102,八德區,1034,1385-0000,,2100
102,八德區,1034,1386-0000,,2100
102,八德區,1034,1387-0000,,3788
102,八德區,1034,1388-0000,,3756
102,八德區,1034,1389-0000,,1627
102,八德區,1034,1390-0000,,1395
102,八德區,1034,1391-0000,,3100
102,八德區,1035,0839-0000,,1000
102,八德區,1035,0840-0000,,1001
102,八德區,1035,0841-0000,,1147
102,八德區,1035,0842-0000,,1089
102,八德區,1035,0843-0000,,1309
102,八德區,1035,0844-0000,,1400
102,八德區,1035,0845-0000,,1668
102,八德區,1035,0846-0000,,1400
102,八德區,1035,0847-0000,,1379
102,八德區,1035,0848-0000,,1015
102,八德區,1035,0849-0000,,1000
102,八德區,1035,0850-0000,,1000
102,八德區,1035,0851-0000,,1000
102,八德區,1035,0852-0000,,1000
102,八德區,1035,0853-0000,,1000
102,八德區,1035,0854-0000,,1000
102,八德區,1035,0855-0000,,1000
102,八德區,1035,0856-0000,,1000
102,八德區,1035,0857-0000,,1000
102,八德區,1035,0858-0000,,1000
102,八德區,1035,0859-0000,,1121
102,八德區,1035,0860-0000,,1400
102,八德區,1035,0861-0000,,1400
102,八德區,1035,0862-0000,,1072
102,八德區,1035,0863-0000,,1075
102,八德區,1035,0864-0000,,1065
102,八德區,1035,0865-0000,,1000
102,八德區,1035,0866-0000,,1483
102,八德區,1035,0867-0000,,1538
102,八德區,1035,0868-0000,,1529
102,八德區,1035,0869-0000,,3402
102,八德區,1035,0870-0000,,3419
102,八德區,1035,0871-0000,,1476
102,八德區,1035,0872-0000,,1000
102,八德區,1035,0873-0000,,1218
102,八德區,1035,0874-0000,,1919
102,八德區,1035,0875-0000,,1556
102,八德區,1035,0876-0000,,1513
102,八德區,1035,0877-0000,,1516
102,八德區,1035,0878-0000,,3033
102,八德區,1035,0879-0000,,1746
102,八德區,1035,0880-0000,,1788
102,八德區,1035,0881-0000,,1400
102,八德區,1035,0882-0000,,2400
102,八德區,1035,0883-0000,,2400
102,八德區,1035,0884-0000,,2400
102,八德區,1035,0885-0000,,2400
102,八德區,1035,0886-0000,,2400
102,八德區,1035,0887-0000,,2400
102,八德區,1035,0888-0000,,2400
102,八德區,1035,0889-0000,,4317
102,八德區,1035,0890-0000,,2853
102,八德區,1035,0891-0000,,4273
102,八德區,1035,0892-0000,,2852
102,八德區,1035,0893-0000,,4260
102,八德區,1035,0894-0000,,2846
102,八德區,1034,1412-0000,,3100
102,八德區,1034,1414-0000,,3100
102,八德區,1034,1415-0000,,3100
102,八德區,1034,1416-0000,,3100
102,八德區,1034,1417-0000,,3100
102,八德區,1034,1418-0000,,3100
102,八德區,1034,1419-0000,,3100
102,八德區,1034,1420-0000,,1410
102,八德區,1034,1421-0000,,1300
102,八德區,1034,1422-0000,,1300
102,八德區,1034,1423-0000,,3100
102,八德區,1034,1424-0000,,1300
102,八德區,1034,1425-0000,,1300
102,八德區,1034,1426-0000,,1300
102,八德區,1034,1427-0000,,1300
102,八德區,1034,1428-0000,,1100
102,八德區,1034,1429-0000,,2100
102,八德區,1034,1430-0000,,1100
102,八德區,1034,1431-0000,,1100
102,八德區,1034,1432-0000,,2300
102,八德區,1034,1433-0000,,1100
102,八德區,1034,1434-0000,,1100
