年份,行政區,段小段,地號,公告現值,公告地價
105,八德區,華興段,0123-0000,26600,5000
105,八德區,華興段,0125-0000,26600,5000
105,八德區,華興段,0126-0000,6200,1200
105,八德區,華興段,0127-0000,6200,1200
105,八德區,華興段,0128-0000,6200,1200
105,八德區,華興段,0130-0000,26600,5000
105,八德區,華興段,0131-0000,26600,5000
105,八德區,華興段,0132-0000,26600,5000
105,八德區,華興段,0133-0000,26600,5000
105,八德區,華興段,0134-0000,26600,5000
105,八德區,華興段,0135-0000,26600,5000
105,八德區,華興段,0137-0000,6200,1200
105,八德區,華興段,0138-0000,26600,5000
105,八德區,華興段,0139-0000,26600,5000
105,八德區,華興段,0140-0000,26600,5000
105,八德區,華興段,0142-0000,26600,5000
105,八德區,華興段,0143-0000,26600,5000
105,八德區,華興段,0144-0000,7500,1200
105,八德區,華興段,0147-0000,26600,5000
105,八德區,華興段,0148-0000,7500,1200
105,八德區,華興段,0149-0000,7500,1200
105,八德區,華興段,0150-0000,26600,5000
105,八德區,華興段,0151-0000,26600,5000
105,八德區,華興段,0152-0000,26600,5000
105,八德區,華興段,0153-0000,26600,5000
105,八德區,華興段,0154-0000,7500,1200
105,八德區,華興段,0157-0000,25200,4200
105,八德區,華興段,0158-0000,25200,4200
105,八德區,華興段,0159-0000,25200,4200
105,八德區,華興段,0161-0000,25200,4200
105,八德區,華興段,0162-0000,25200,4200
105,八德區,華興段,0163-0000,25200,4200
105,八德區,華興段,0001-0000,6200,1200
105,八德區,華興段,0002-0000,6200,1200
105,八德區,華興段,0003-0000,6200,1200
105,八德區,華興段,0005-0000,6200,1200
105,八德區,華興段,0006-0000,6200,1200
105,八德區,華興段,0007-0000,6200,1200
105,八德區,華興段,0008-0000,6200,1200
105,八德區,茄苳段,0423-0004,26332,4200
105,八德區,茄苳段,0426-0001,26332,4200
105,八德區,茄苳段,0426-0002,31500,4900
105,八德區,茄苳段,0891-0001,18700,3200
105,八德區,茄苳段,0903-0001,9000,1400
105,八德區,茄苳段,1302-0001,9000,1400
105,八德區,茄苳段,1302-0002,9000,1400
105,八德區,茄苳段,1304-0001,18700,3200
105,八德區,茄苳段,0830-0001,19400,3200
105,八德區,茄苳段,0833-0001,18700,3200
105,八德區,茄苳段,0834-0001,9000,1400
105,八德區,茄苳段,0834-0002,9000,1400
105,八德區,茄苳段,0890-0001,9000,1400
105,八德區,茄苳段,0054-0001,30000,4900
105,八德區,茄苳段,0055-0001,30000,4900
105,八德區,茄苳段,0072-0001,30000,4900
105,八德區,茄苳段,0073-0001,33329,5379
105,八德區,茄苳段,0002-0001,30000,4900
105,八德區,茄苳段,0003-0001,30000,4900
105,八德區,茄苳段,0051-0001,30000,4900
105,八德區,茄苳段,0052-0001,30000,4900
105,八德區,茄苳段,0551-0001,19400,3200
105,八德區,茄苳段,0551-0002,19400,3200
105,八德區,茄苳段,0552-0001,19400,3200
105,八德區,茄苳段,0552-0002,9000,1400
105,八德區,茄苳段,0552-0003,9000,1400
105,八德區,茄苳段,0804-0001,23167,3825
105,八德區,茄苳段,0804-0002,42300,7000
105,八德區,茄苳段,0804-0003,21852,3626
105,八德區,茄苳段,0807-0001,19400,3200
105,八德區,茄苳段,0342-0001,9000,1400
105,八德區,茄苳段,0345-0001,18700,3200
105,八德區,茄苳段,0346-0001,18700,3200
105,八德區,茄苳段,0349-0001,18700,3200
105,八德區,茄苳段,0074-0001,46600,7300
105,八德區,茄苳段,0075-0001,46600,7300
105,八德區,茄苳段,0245-0001,19400,3200
105,八德區,茄苳段,0246-0001,19400,3200
105,八德區,茄苳段,0053-0001,30000,4900
105,八德區,茄苳段,0076-0001,46600,7300
105,八德區,茄苳段,0285-0001,19400,3200
105,八德區,茄苳段,0305-0001,9000,1400
105,八德區,茄苳段,0333-0001,9000,1400
105,八德區,茄苳段,0334-0001,9000,1400
105,八德區,茄明段,0280-0002,40200,6800
105,八德區,茄明段,0774-0003,44600,7500
105,八德區,高明段,0053-0001,66200,10800
105,八德區,高明段,0054-0001,66200,10800
105,八德區,華興段,0009-0000,6200,1200
105,八德區,華興段,0012-0000,6200,1200
105,八德區,華興段,0013-0000,6200,1200
105,八德區,華興段,0014-0000,6200,1200
105,八德區,華興段,0016-0000,6200,1200
105,八德區,華興段,0017-0000,6200,1200
105,八德區,華興段,0018-0000,6200,1200
